asin,title,actors,box_office,country,director,genre,language,metascore,production,rated,released,runtime,type,writer,year,imdb_id,imdb_rating,imdb_votes
B00DL47KWI,Girl Most Likely,"Kristen Wiig, Annette Bening, Matt Dillon, Darren Criss","$1,378,426",USA,"Shari Springer Berman, Robert Pulcini",Comedy,"English, Romanian",38,Lionsgate/Roadside Attractions,PG-13,18 Jul 2013,103 min,movie,Michelle Morgan,2012,tt1698648,5.8,"13,215"
B00I6JOD8M,Winter's Tale,"Colin Farrell, Matt Bomer, Lucy Griffiths, Michael Crane","$10,628,616",USA,Akiva Goldsman,"Drama, Fantasy, Mystery",English,31,Warner Bros. Pictures,PG-13,14 Feb 2014,118 min,movie,"Akiva Goldsman (screenplay), Mark Helprin (novel)",2014,tt1837709,6.2,"45,262"
0780023110,...And God Created Woman,"Brigitte Bardot, Curd Jürgens, Jean-Louis Trintignant, Jane Marken",N/A,"France, Italy",Roger Vadim,"Drama, Romance","French, English",N/A,Criterion Collection,PG,21 Oct 1957,90 min,movie,"Roger Vadim (original scenario), Raoul Lévy (original scenario)",1956,tt0049189,6.3,"5,991"
6302860326,Agnes of God,"Jane Fonda, Anne Bancroft, Meg Tilly, Anne Pitoniak",N/A,USA,Norman Jewison,"Drama, Mystery","English, French, Latin",N/A,Sony Pictures Home Entertainment,PG-13,27 Sep 1985,98 min,movie,"John Pielmeier (screenplay), John Pielmeier (play)",1985,tt0088683,6.6,"5,797"
0792837339,The Missouri Breaks,"Marlon Brando, Jack Nicholson, Randy Quaid, Kathleen Lloyd",N/A,USA,Arthur Penn,"Drama, Western",English,N/A,MGM,PG,22 May 1976,126 min,movie,Thomas McGuane,1976,tt0074906,6.6,"7,678"
B0046BI81W,Death Race 2,"Luke Goss, Lauren Cohan, Sean Bean, Ving Rhames",N/A,"South Africa, Germany",Roel Reiné,"Action, Sci-Fi, Thriller",English,N/A,Universal Studios Home Entertainment,R,18 Jan 2011,96 min,movie,"Paul W.S. Anderson (characters and story), Tony Giglio (screenplay & story)",2010,tt1500491,5.6,"26,227"
B0007989Y8,L'Eclisse,"Alain Delon, Monica Vitti, Francisco Rabal, Lilla Brignone",N/A,"Italy, France",Michelangelo Antonioni,"Drama, Romance","Italian, English",N/A,Acacias Cine Audience,NOT RATED,20 Dec 1962,126 min,movie,"Michelangelo Antonioni (scenario and dialogue), Tonino Guerra (scenario and dialogue), Elio Bartolini (scenario collaborator), Ottiero Ottieri (scenario collaborator)",1962,tt0056736,7.9,"12,988"
B00005QAQH,Osmosis Jones,"Chris Rock, Laurence Fishburne, David Hyde Pierce, Brandy Norwood","$12,344,938",USA,"Bobby Farrelly, Peter Farrelly","Animation, Action, Adventure",English,57,Warner Bros. Pictures,PG,10 Aug 2001,95 min,movie,Marc Hyman,2001,tt0181739,6.3,"27,465"
B0000203YR,Roy Orbison: Black and White Night 30,"Alex Acuna, Jackson Browne, T Bone Burnett, James Burton",N/A,USA,"Alex Orbison, T Bone Burnett",Music,English,N/A,N/A,N/A,24 Feb 2017,133 min,movie,N/A,2017,tt7183056,N/A,N/A
B00004YA67,Gossip,"James Marsden, Lena Headey, Norman Reedus, Kate Hudson",N/A,USA,Davis Guggenheim,"Drama, Mystery, Thriller","English, Italian",31,Warner Home Video,R,21 Apr 2000,90 min,movie,"Gregory Poirier (story), Gregory Poirier (screenplay), Theresa Rebeck (screenplay)",2000,tt0176783,5.9,"13,041"
6305604789,Black Mask,"Jet Li, Ching Wan Lau, Karen Mok, Françoise Yip",N/A,Hong Kong,Daniel Lee,"Action, Adventure, Comedy","Cantonese, English",N/A,Artisan Entertainment,R,14 May 1999,99 min,movie,"Hark Tsui (screenplay), Koan Hui (screenplay), Teddy Chan (screenplay), Joe Ma (screenplay)",1996,tt0115693,6.1,"9,778"
6301798600,Broken Arrow,"John Travolta, Christian Slater, Samantha Mathis, Delroy Lindo",N/A,USA,John Woo,"Action, Adventure, Thriller",English,61,Twentieth Century Fox Home Entertainment,R,09 Feb 1996,108 min,movie,Graham Yost,1996,tt0115759,6.0,"81,388"
6301640799,The Gospel According to St. Matthew,"Enrique Irazoqui, Margherita Caruso, Susanna Pasolini, Marcello Morante",N/A,"Italy, France",Pier Paolo Pasolini,"Biography, Drama, History",Italian,N/A,Water Bearer Films Inc.,NOT RATED,03 Mar 1965,137 min,movie,Pier Paolo Pasolini,1964,tt0058715,7.9,"8,540"
B001451HXO,Aliens vs. Predator: Requiem,"Steven Pasquale, Reiko Aylesworth, John Ortiz, Johnny Lewis","$41,668,854",USA,"Colin Strause, Greg Strause","Action, Horror, Sci-Fi",English,29,20th Century Fox,R,25 Dec 2007,94 min,movie,"Shane Salerno, Dan O'Bannon (""Alien"" characters), Ronald Shusett (""Alien"" characters), Jim Thomas (""Predator"" characters), John Thomas (""Predator"" characters)",2007,tt0758730,4.7,"100,473"
6302844061,Silkwood,"Meryl Streep, Kurt Russell, Cher, Craig T. Nelson",N/A,USA,Mike Nichols,"Biography, Drama, History",English,64,20th Century Fox,R,27 Jan 1984,131 min,movie,"Nora Ephron, Alice Arlen",1983,tt0086312,7.2,"15,303"
079283755X,A Funny Thing Happened on the Way to the Forum,"Zero Mostel, Phil Silvers, Buster Keaton, Michael Crawford",N/A,"USA, UK",Richard Lester,"Comedy, Musical",English,N/A,Quandrangle,APPROVED,16 Oct 1966,99 min,movie,"Melvin Frank (screenplay), Michael Pertwee (screenplay), Burt Shevelove (book), Larry Gelbart (book), Titus Maccius Plautus (based on the play by)",1966,tt0060438,7.0,"7,177"
6303328164,Three Smart Girls,"Binnie Barnes, Charles Winninger, Alice Brady, Ray Milland",N/A,USA,Henry Koster,"Comedy, Musical, Romance",English,N/A,Universal Pictures,APPROVED,20 Dec 1936,84 min,movie,"Adele Comandini (original story), Adele Comandini (screen play)",1936,tt0028373,6.8,914
B00005U12T,Baise-moi partout,"Diane Dubois, Karine Gambier, Dominique Irissou, Guy Royer",N/A,France,José Bénazéraf,Adult,French,N/A,N/A,N/A,N/A,N/A,movie,N/A,1978,tt0077201,5.1,16
630208735X,Flight of the Intruder,"Danny Glover, Willem Dafoe, Brad Johnson, Rosanna Arquette","$14,587,732",USA,John Milius,"Action, Drama, Thriller",English,N/A,Paramount,PG-13,18 Jan 1991,115 min,movie,"Stephen Coonts (novel), Robert Dillon (screenplay), David Shaber (screenplay)",1991,tt0099587,5.7,"5,183"
B004A8ZWV0,Beginners,"Ewan McGregor, Christopher Plummer, Mélanie Laurent, Goran Visnjic","$5,764,842",USA,Mike Mills,"Comedy, Drama, Romance","English, French",81,Focus Features,R,09 Jun 2011,105 min,movie,Mike Mills,2010,tt1532503,7.2,"79,314"
B0006J27WE,Head in the Clouds,"Charlize Theron, Penélope Cruz, Stuart Townsend, Thomas Kretschmann","$170,463","UK, Canada",John Duigan,"Drama, Romance, War","English, German, French, Spanish",40,Sony Pictures Classics,R,30 Oct 2004,132 min,movie,John Duigan,2004,tt0338097,6.6,"13,167"
630345786X,The House on 92nd Street,"William Eythe, Lloyd Nolan, Signe Hasso, Gene Lockhart",N/A,USA,Henry Hathaway,"Crime, Drama, Film-Noir","English, German",N/A,Twentieth Century Fox,APPROVED,16 Oct 1945,88 min,movie,"Barré Lyndon (screenplay), Charles G. Booth (screenplay), John Monks Jr. (screenplay), Charles G. Booth (story)",1945,tt0037795,6.8,"2,242"
0792838076,Hoodlum,"Laurence Fishburne, Tim Roth, Vanessa Williams, Andy Garcia",N/A,USA,Bill Duke,"Crime, Drama",English,50,905 Corporation,R,27 Aug 1997,130 min,movie,Chris Brancato,1997,tt0119311,6.3,"8,993"
B00008AOSA,The Believer,"Ryan Gosling, Peter Meadows, Garret Dillahunt, Kris Eivers",N/A,USA,Henry Bean,Drama,"English, Hebrew",75,IDP Distribution,R,23 Aug 2001,98 min,movie,"Henry Bean (screenplay), Henry Bean (story), Mark Jacobson (story)",2001,tt0247199,7.2,"32,633"
6304432119,One Fine Day,"Michelle Pfeiffer, George Clooney, Mae Whitman, Alex D. Linz",N/A,USA,Michael Hoffman,"Comedy, Drama, Romance","English, Spanish",N/A,Twentieth Century Fox Home Entertainment,PG,20 Dec 1996,108 min,movie,"Terrel Seltzer, Ellen Simon",1996,tt0117247,6.5,"38,271"
B004QOB8PW,Green Lantern: Emerald Knights,"Nathan Fillion, Jason Isaacs, Elisabeth Moss, Henry Rollins",N/A,USA,"Christopher Berkeley, Lauren Montgomery, Jay Oliva","Animation, Action, Adventure",English,N/A,WARNER BROTHERS PICTURES,PG,07 Jun 2011,84 min,movie,"Michael Green, Marc Guggenheim, Peter Tomasi (story ""New Blood""), Chris Samnee (story New Blood""), Peter Tomasi, Dave Gibbons (story ""Mogo Doesn't Socialize""), Dave Gibbons, Kevin O'Neill (story Tygers""), Geoff Johns, Alan Burnett (story), Geoff Johns (story), Alan Burnett (screenplay), Todd Casey (screenplay), Ruben Diaz (story What Price Honor?""), Travis Charest (story What Price Honor?""), Eddie Berganza",2011,tt1683043,6.8,"10,013"
6305616027,Inspector Gadget,"Matthew Broderick, Rupert Everett, Joely Fisher, Michelle Trachtenberg",N/A,USA,David Kellogg,"Action, Adventure, Comedy","English, Norwegian, French, Spanish",36,Walt Disney Pictures,PG,23 Jul 1999,78 min,movie,"Andy Heyward (characters), Jean Chalopin (characters), Bruno Bianchi (characters), Dana Olsen (story), Kerry Ehrin (story), Kerry Ehrin (screenplay), Zak Penn (screenplay)",1999,tt0141369,4.1,"39,119"
6300216950,Pretty Baby,"Brooke Shields, Keith Carradine, Susan Sarandon, Frances Faye",N/A,USA,Louis Malle,Drama,English,N/A,Paramount Pictures,R,05 Apr 1978,110 min,movie,"Polly Platt (story), Polly Platt (screenplay), Louis Malle (story)",1978,tt0078111,6.6,"8,084"
B000TNLZ0M,Lucky You,"Phyllis Somerville, Eric Bana, Horatio Sanz, Drew Barrymore","$5,727,530","USA, Germany, Australia",Curtis Hanson,"Drama, Romance, Sport","English, Spanish",49,Warner Bros. Pictures,PG-13,04 May 2007,124 min,movie,"Eric Roth (screenplay), Curtis Hanson (screenplay), Eric Roth (story)",2007,tt0338216,5.9,"18,915"
0767806808,Multiplicity,"Michael Keaton, Andie MacDowell, Zack Duhame, Katie Schlossberg",N/A,USA,Harold Ramis,"Comedy, Romance, Sci-Fi",English,N/A,Sony Pictures Home Entertainment,PG-13,17 Jul 1996,117 min,movie,"Chris Miller (short story), Chris Miller (screenplay), Mary Hale (screenplay), Lowell Ganz (screenplay), Babaloo Mandel (screenplay)",1996,tt0117108,6.0,"26,334"
6300250156,New Fists of Fury,"Jackie Chan, Nora Miao, Sing Chen, Chung-Kuei Chang",N/A,"Hong Kong, Taiwan",Wei Lo,"Action, Drama",Mandarin,N/A,Simitar,R,08 Jul 1976,114 min,movie,"Wei Lo, Lei Pan",1976,tt0075439,5.6,"1,057"
B000A2UC2E,Satan's Little Helper,"Alexander Brickel, Katheryn Winnick, Stephen Graham, Amanda Plummer",N/A,USA,Jeff Lieberman,"Comedy, Horror",English,N/A,Screen Media Films,R,06 May 2004,96 min,movie,Jeff Lieberman,2004,tt0380687,5.3,"4,995"
B0000022WA,The Parent Trap,"Lindsay Lohan, Dennis Quaid, Natasha Richardson, Elaine Hendrix",N/A,USA,Nancy Meyers,"Adventure, Comedy, Drama","English, French",64,Walt Disney Productions,PG,29 Jul 1998,128 min,movie,"Erich Kästner (book), David Swift (screenplay), Nancy Meyers (screenplay), Charles Shyer (screenplay)",1998,tt0120783,6.5,"97,420"
6305280665,Day of the Animals,"Christopher George, Leslie Nielsen, Lynda Day George, Richard Jaeckel",N/A,USA,William Girdler,"Horror, Sci-Fi, Thriller",English,N/A,Film Ventures International In,PG,13 May 1977,97 min,movie,"William W. Norton (screenplay), Eleanor E. Norton (screenplay), Edward L. Montoro (story)",1977,tt0075913,5.5,"1,557"
6301015320,1900,"Robert De Niro, Gérard Depardieu, Dominique Sanda, Francesca Bertini",N/A,"Italy, France, West Germany",Bernardo Bertolucci,"Crime, Drama, History",Italian,N/A,Paramount Pictures,UNRATED,04 Nov 1977,317 min,movie,"Franco Arcalli (screenplay by), Giuseppe Bertolucci (screenplay by), Bernardo Bertolucci (screenplay by)",1976,tt0074084,7.7,"18,718"
0792846087,Interiors,"Kristin Griffith, Mary Beth Hurt, Richard Jordan, Diane Keaton",N/A,USA,Woody Allen,Drama,English,67,MGM Home Entertainment,PG,02 Aug 1978,92 min,movie,Woody Allen,1978,tt0077742,7.5,"15,408"
6302787009,Santa Fe Trail,"Errol Flynn, Olivia de Havilland, Raymond Massey, Ronald Reagan",N/A,USA,Michael Curtiz,"Adventure, Biography, Drama",English,N/A,Warner Bros. Pictures,NOT RATED,28 Dec 1940,110 min,movie,Robert Buckner (original screenplay),1940,tt0033021,6.3,"2,547"
B00003CXL6,Autumn in New York,"Richard Gere, Winona Ryder, Anthony LaPaglia, Elaine Stritch",N/A,USA,Joan Chen,"Drama, Romance",English,24,MGM,PG-13,11 Aug 2000,103 min,movie,Allison Burnett,2000,tt0174480,5.5,"21,660"
B00000IBME,"Move Over, Darling","Doris Day, James Garner, Polly Bergen, Thelma Ritter",N/A,USA,Michael Gordon,"Comedy, Romance","English, Spanish",N/A,20th Century Fox,APPROVED,25 Dec 1963,103 min,movie,"Hal Kanter (screenplay), Jack Sher (screenplay), Bella Spewack (based on a screenplay by), Sam Spewack (based on a screenplay by), Bella Spewack (story), Sam Spewack (story), Leo McCarey (story)",1963,tt0057329,7.0,"3,942"
B000AOEMXM,Star Trek,"Leonard Nimoy, William Shatner, DeForest Kelley, Nichelle Nichols",,USA,N/A,"Action, Adventure, Mystery",English,N/A,,TV-PG,08 Sep 1966,50 min,series,Gene Roddenberry,1966–1969,tt0060028,8.4,"58,604"
6301977270,Theater of Blood,"Vincent Price, Diana Rigg, Ian Hendry, Harry Andrews",N/A,UK,Douglas Hickox,"Comedy, Drama, Horror",English,N/A,United Artists,R,05 Apr 1973,104 min,movie,"Anthony Greville-Bell (screenplay), Stanley Mann (idea), John Kohn (idea)",1973,tt0070791,7.3,"7,465"
B00023E88U,Challenge of the Superfriends,"Jack Angel, Marlene Aragon, Lewis Bailey, Michael Bell",,USA,N/A,"Animation, Action, Family",English,N/A,,TV-Y7,08 Sep 1978,30 min,series,N/A,1978–,tt0076994,7.8,"1,074"
6303082750,Reptilicus,"Bent Mejding, Asbjørn Andersen, Povl Wøldike, Ann Smyrner",N/A,"Denmark, USA",Sidney W. Pink,"Action, Horror, Sci-Fi","Danish, English",N/A,American International Pictures,PASSED,20 Feb 1961,82 min,movie,"Sidney W. Pink (original story), Ib Melchior (screenplay), Sidney W. Pink (screenplay)",1961,tt0056405,3.6,"2,838"
0783103107,Godzilla vs. Biollante,"Kunihiko Mitamura, Yoshiko Tanaka, Masanobu Takashima, Kôji Takahashi",N/A,Japan,Kazuki Ohmori,"Action, Drama, Horror","Japanese, English",N/A,Toho Company,PG,16 Dec 1989,104 min,movie,"Shinichirô Kobayashi (story), Kazuki Ohmori",1989,tt0097444,6.6,"3,775"
6304707045,Prophecy,"Talia Shire, Robert Foxworth, Armand Assante, Richard Dysart",N/A,USA,John Frankenheimer,"Sci-Fi, Horror",English,N/A,Paramount Pictures,PG,22 Aug 1979,102 min,movie,David Seltzer,1979,tt0079758,5.4,"3,288"
B000055ZNH,Gone in 60 Seconds,"H.B. Halicki, Marion Busia, Jerry Daugirda, James McIntyre",N/A,USA,H.B. Halicki,"Action, Crime, Drama",English,N/A,H.B. Halicki Mercantile Co.,PG,28 Jul 1974,105 min,movie,H.B. Halicki,1974,tt0071571,6.5,"7,016"
B0048LPRCS,Enter the Void,"Paz de la Huerta, Nathaniel Brown, Cyril Roy, Olly Alexander","$336,467","France, Germany, Italy, Canada",Gaspar Noé,"Drama, Fantasy","English, Japanese",69,IFC Films,NOT RATED,05 May 2010,161 min,movie,"Gaspar Noé, Lucile Hadzihalilovic (with the help of)",2009,tt1191111,7.3,"52,311"
0783228465,Lionheart,"Jean-Claude Van Damme, Harrison Page, Deborah Rennard, Lisa Pelikan",N/A,USA,Sheldon Lettich,"Action, Crime, Drama","English, Serbian",N/A,MCA Universal Home Video,R,11 Jan 1991,108 min,movie,"S.N. Warren (earlier screenplay), Jean-Claude Van Damme (story), Sheldon Lettich (screenplay), Jean-Claude Van Damme (screenplay)",1990,tt0100029,6.2,"27,235"
B005F3XV8U,The Caller,"Rachelle Lefevre, Stephen Moyer, Lorna Raver, Ed Quinn",N/A,"UK, Puerto Rico",Matthew Parkhill,Thriller,English,N/A,Bankside Films,R,22 Feb 2013,92 min,movie,Sergio Casci,2011,tt1525890,6.1,"9,408"
0767802535,Big Night,"Marc Anthony, Tony Shalhoub, Stanley Tucci, Larry Block",N/A,USA,"Campbell Scott, Stanley Tucci","Drama, Romance","English, Italian",80,Samuel Goldwyn Films,R,20 Sep 1996,109 min,movie,"Stanley Tucci, Joseph Tropiano",1996,tt0115678,7.3,"14,061"
0790745569,Easter Parade,"Judy Garland, Fred Astaire, Peter Lawford, Ann Miller",N/A,USA,Charles Walters,"Musical, Romance","English, French, Italian",N/A,MGM Home Entertainment,APPROVED,08 Jul 1948,107 min,movie,"Sidney Sheldon (screenplay), Frances Goodrich (screenplay), Albert Hackett (screenplay), Frances Goodrich (original story), Albert Hackett (original story)",1948,tt0040308,7.5,"6,994"
B000078UJW,Season Three Vault,"Chris Barnes, Carl Blackmon, Marlon Davis, Robert Geiger",,N/A,Jerry C. Oliver,Music,N/A,N/A,,N/A,21 Mar 2007,30 min,episode,Jerry C. Oliver (creator),2007,tt2252652,N/A,N/A
B00005221J,Courage Under Fire,"Denzel Washington, Meg Ryan, Lou Diamond Phillips, Michael Moriarty",N/A,USA,Edward Zwick,"Action, Drama, Mystery","English, Arabic",77,Columbia Pictures,R,12 Jul 1996,116 min,movie,Patrick Sheane Duncan,1996,tt0115956,6.6,"43,340"
B000MGBM1S,"Shameless: Season 4, Being Gallagher","Emily Bergl, Vanessa Bell Calloway, Ethan Cutkosky, Etan Frankel",N/A,USA,N/A,Short,English,N/A,N/A,N/A,30 Dec 2014,N/A,movie,N/A,2014,tt4534652,N/A,N/A
6304005989,Topkapi,"Melina Mercouri, Peter Ustinov, Maximilian Schell, Robert Morley",N/A,USA,Jules Dassin,"Adventure, Comedy, Crime","English, French, Turkish, German, Greek, Italian",N/A,United Artists,UNRATED,02 Sep 1964,120 min,movie,"Monja Danischewsky (screenplay), Eric Ambler (based on the novel ""The Light of Day"")",1964,tt0058672,7.1,"6,898"
6303954278,The Stuff,"Michael Moriarty, Andrea Marcovicci, Garrett Morris, Paul Sorvino",N/A,USA,Larry Cohen,"Comedy, Horror, Sci-Fi",English,N/A,New World Video,R,14 Jun 1985,87 min,movie,Larry Cohen,1985,tt0090094,5.9,"9,863"
1558801278,Slaughterhouse-Five,"Michael Sacks, Ron Leibman, Eugene Roche, Sharon Gans",N/A,USA,George Roy Hill,"Comedy, Drama, Sci-Fi","English, German",N/A,Universal Pictures,R,15 Mar 1972,104 min,movie,"Kurt Vonnegut Jr. (novel), Stephen Geller (screenplay)",1972,tt0069280,7.0,"10,387"
078321894X,The Major and the Minor,"Ginger Rogers, Ray Milland, Rita Johnson, Robert Benchley",N/A,USA,Billy Wilder,"Comedy, Romance",English,N/A,Paramount Pictures,PASSED,24 Dec 1942,100 min,movie,"Charles Brackett, Billy Wilder, Edward Childs Carpenter (suggested by a play by), Fanny Kilbourne (from a story by)",1942,tt0035019,7.6,"4,926"
6304913605,Missile to the Moon,"Richard Travis, Cathy Downs, K.T. Stevens, Tommy Cook",N/A,USA,Richard E. Cunha,"Drama, Sci-Fi",English,N/A,Rifftrax,APPROVED,29 Jun 1960,78 min,movie,"H.E. Barrie (screenplay), Vincent Fotre (screenplay)",1958,tt0053072,3.6,702
0792160347,American Gigolo,"Richard Gere, Lauren Hutton, Hector Elizondo, Nina van Pallandt",N/A,USA,Paul Schrader,"Crime, Drama, Mystery","English, Swedish, French, German",57,Paramount Home Video,R,01 Feb 1980,117 min,movie,Paul Schrader,1980,tt0080365,6.2,"17,439"
6300147258,Darling,"Julie Christie, Laurence Harvey, Dirk Bogarde, José Luis de Vilallonga",N/A,UK,John Schlesinger,"Drama, Romance",English,N/A,Lionsgate,TV-MA,03 Aug 1965,128 min,movie,"Frederic Raphael (screenplay), Frederic Raphael (idea), John Schlesinger (idea), Joseph Janni (idea)",1965,tt0059084,7.2,"4,666"
B004X8AIE8,Cedar Rapids,"Ed Helms, John C. Reilly, Anne Heche, Isiah Whitlock Jr.","$6,800,000",USA,Miguel Arteta,Comedy,English,70,Fox Searchlight Pictures,R,18 Mar 2011,87 min,movie,Phil Johnston,2011,tt1477837,6.3,"33,769"
6303969070,Leprechaun 3,"Warwick Davis, John Gatins, Lee Armstrong, John DeMita",N/A,USA,Brian Trenchard-Smith,"Comedy, Fantasy, Horror",English,N/A,Trimark,R,27 Jun 1995,90 min,movie,"David DuBos, Mark Jones (based upon characters created by)",1995,tt0113636,4.9,"5,076"
B000ION23A,The Ant Bully,"Julia Roberts, Nicolas Cage, Meryl Streep, Paul Giamatti","$28,100,000",USA,John A. Davis,"Animation, Adventure, Comedy",English,59,Warner Bros. Pictures,PG,28 Jul 2006,88 min,movie,"John A. Davis, John Nickle (book)",2006,tt0429589,5.9,"32,196"
B000022TSJ,Universal Soldier: The Return,"Jean-Claude Van Damme, Michael Jai White, Heidi Schanz, Xander Berkeley",N/A,USA,Mic Rodgers,"Action, Sci-Fi",English,24,Sony Pictures Home Entertainment,R,20 Aug 1999,83 min,movie,"Richard Rothstein (characters), Christopher Leitch (characters), Dean Devlin (characters), William Malone, John Fasano",1999,tt0176269,4.1,"25,372"
B0010X8NL4,One Piece: Episode of Alabaster - Sabaku no Ojou to Kaizoku Tachi,"Charles Baker, Troy Baker, Anthony Bowling, Luci Christian",N/A,Japan,Takahiro Imamura,"Animation, Action, Adventure",Japanese,N/A,The Bigger Picture,PG-13,03 Mar 2007,90 min,movie,"Eiichiro Oda (comic), Hirohiko Uesaka (screenplay)",2007,tt1037116,7.2,863
6303686834,Shampoo,"Warren Beatty, Julie Christie, Goldie Hawn, Lee Grant",N/A,USA,Hal Ashby,"Comedy, Drama",English,N/A,Sony Pictures Home Entertainment,R,13 Mar 1975,109 min,movie,"Robert Towne, Warren Beatty",1975,tt0073692,6.3,"8,433"
B004UXUWOW,I Don't Know How She Does It,"Sarah Jessica Parker, Pierce Brosnan, Greg Kinnear, Christina Hendricks","$9,500,000",USA,Douglas McGrath,"Comedy, Romance",English,38,The Weinstein Co.,PG-13,16 Sep 2011,89 min,movie,"Aline Brosh McKenna (screenplay), Allison Pearson (novel)",2011,tt1742650,4.9,"17,553"
B00005TPLI,Wet Hot American Summer,"Janeane Garofalo, David Hyde Pierce, Michael Showalter, Marguerite Moreau",N/A,USA,David Wain,"Comedy, Romance",English,42,USA Films,R,11 Apr 2002,97 min,movie,"Michael Showalter, David Wain",2001,tt0243655,6.7,"45,791"
B000006ND5,The Pirate Movie,"Kristy McNichol, Christopher Atkins, Ted Hamilton, Bill Kerr",N/A,Australia,Ken Annakin,"Adventure, Comedy, Musical",English,N/A,Anchor Bay Entertainment,PG,06 Aug 1982,98 min,movie,"W.S. Gilbert (operetta), Trevor Farrant",1982,tt0084504,5.1,"3,539"
B00076ON28,Matango,"Akira Kubo, Kumi Mizuno, Hiroshi Koizumi, Kenji Sahara",N/A,Japan,Ishirô Honda,"Drama, Horror, Mystery",Japanese,N/A,N/A,UNRATED,11 Aug 1963,89 min,movie,"Takeshi Kimura (screenplay), Shin'ichi Hoshi (adaptation), Masami Fukushima (adaptation), William Hope Hodgson (story ""The Voice in the Night"")",1963,tt0057295,6.6,"1,964"
B000A5044C,Nobody Knows,"Yûya Yagira, Ayu Kitaura, Hiei Kimura, Momoko Shimizu","$491,773",Japan,Hirokazu Koreeda,Drama,Japanese,88,IFC Films,PG-13,21 Oct 2004,141 min,movie,Hirokazu Koreeda,2004,tt0408664,8.1,"18,747"
0783114583,The Jack Bull,"John Cusack, John Goodman, L.Q. Jones, Miranda Otto",N/A,USA,John Badham,"Drama, Western",English,N/A,HBO Video,R,17 Apr 1999,116 min,movie,"Heinrich von Kleist (book), Dick Cusack",1999,tt0171410,6.9,"3,867"
0783228503,An American Tail,"Erica Yohn, Nehemiah Persoff, Amy Green, Phillip Glasser",N/A,USA,Don Bluth,"Animation, Adventure, Comedy",English,38,Universal Pictures,G,21 Nov 1986,80 min,movie,"Judy Freudberg (screenplay), Tony Geiss (screenplay), David Kirschner (story), Judy Freudberg (story), Tony Geiss (story)",1986,tt0090633,6.9,"41,140"
630386905X,Burnt by the Sun,"Oleg Menshikov, Nikita Mikhalkov, Ingeborga Dapkunaite, Nadezhda Mikhalkova",N/A,"Russia, France",Nikita Mikhalkov,"Drama, War","Russian, French",N/A,Sony Pictures Home Entertainment,R,21 Apr 1995,135 min,movie,"Rustam Ibragimbekov (dialogue), Rustam Ibragimbekov (screenplay), Nikita Mikhalkov (screenplay), Nikita Mikhalkov (story)",1994,tt0111579,8.0,"12,142"
B00009MGGI,House of Cards,"Ian Richardson, Susannah Harker, Miles Anderson, Alphonsia Emmanuel",,UK,N/A,Drama,English,N/A,,TV-14,31 Mar 1991,226 min,series,N/A,1990,tt0098825,8.6,"10,006"
B00009OOFG,Read My Lips,"Vincent Cassel, Emmanuelle Devos, Olivier Gourmet, Olivier Perrier","$1,177,985",France,Jacques Audiard,"Crime, Drama, Romance",French,82,Magnolia Pictures,R,26 Jul 2002,115 min,movie,"Jacques Audiard, Tonino Benacquista",2001,tt0274117,7.4,"11,789"
6305869103,Dreamscape,"Dennis Quaid, Max von Sydow, Christopher Plummer, Eddie Albert",N/A,USA,Joseph Ruben,"Action, Adventure, Horror",English,N/A,HBO Video,PG-13,17 Aug 1984,99 min,movie,"David Loughery (story), David Loughery (screenplay), Chuck Russell (screenplay), Joseph Ruben (screenplay)",1984,tt0087175,6.3,"11,391"
B000092OME,The Guru,"Jimi Mistry, Heather Graham, Marisa Tomei, Michael McKean","$2,867,996","UK, France, USA",Daisy von Scherler Mayer,"Comedy, Music, Romance","English, Hindi",47,Universal Pictures,R,14 Feb 2003,94 min,movie,Tracey Jackson,2002,tt0280720,5.4,"13,983"
B00GQQ75QO,Divergent,"Shailene Woodley, Theo James, Ashley Judd, Jai Courtney","$129,520,735",USA,Neil Burger,"Adventure, Mystery, Sci-Fi","English, Spanish",48,Lionsgate Films/Summit Entertainment,PG-13,21 Mar 2014,139 min,movie,"Evan Daugherty (screenplay), Vanessa Taylor (screenplay), Veronica Roth (novel)",2014,tt1840309,6.7,"372,975"
B004EPYZDA,Too Big to Fail,"James Woods, John Heard, William Hurt, Erin Dilly",N/A,USA,Curtis Hanson,"Biography, Drama, History",English,N/A,HBO,TV-MA,23 May 2011,99 min,movie,"Peter Gould, Andrew Ross Sorkin (book)",2011,tt1742683,7.4,"12,548"
B00080ETYA,Saints and Soldiers,"Corbin Allred, Alexander Polinsky, Kirby Heyborne, Larry Bagby","$1,004,940",USA,Ryan Little,"Action, Adventure, Drama","English, German",56,Excel Entertainment,PG-13,25 Mar 2005,90 min,movie,"Geoffrey Panos (original story), Geoffrey Panos (screenwriter), Matt Whitaker (screenwriter)",2003,tt0373283,6.8,"18,557"
B0077MFBYO,The Sorcerer and the White Snake,"Jet Li, Shengyi Huang, Raymond Lam, Charlene Choi","$10,575","China, Hong Kong",Siu-Tung Ching,"Action, Fantasy, Romance",Mandarin,41,Magnolia Pictures,PG-13,28 Sep 2011,100 min,movie,Tan Cheung,2011,tt1857913,5.9,"7,255"
