asin,title,actors,box_office,country,director,genre,language,metascore,production,rated,released,runtime,type,writer,year,imdb_id,imdb_rating,imdb_votes
078322947X,Sorcerer,"Roy Scheider, Bruno Cremer, Francisco Rabal, Amidou",N/A,USA,William Friedkin,"Adventure, Drama, Thriller","English, Spanish, French, German",68,Universal/Paramount Pictures,PG,24 Jun 1977,121 min,movie,"Walon Green (screenplay), Georges Arnaud (novel)",1977,tt0076740,7.8,"11,757"
B00005JP63,Notes on a Scandal,"Judi Dench, Cate Blanchett, Tom Georgeson, Michael Maloney","$17,400,000",UK,Richard Eyre,"Crime, Drama, Romance","English, French",73,Fox Searchlight Pictures,R,26 Jan 2007,92 min,movie,"Patrick Marber (screenplay), Zoe Heller (novel)",2006,tt0465551,7.4,"67,429"
B009AMALGM,Paranormal Activity 4,"Katie Featherston, Kathryn Newton, Matt Shively, Aiden Lovekamp","$53,921,335",USA,"Henry Joost, Ariel Schulman",Horror,"English, Ukrainian",40,Paramount Pictures,R,19 Oct 2012,88 min,movie,"Christopher Landon (screenplay), Chad Feehan (story), Oren Peli (film ""Paranormal Activity"")",2012,tt2109184,4.6,"54,665"
0783237367,Life,"Hiroyuki Sanada, Ryan Reynolds, Rebecca Ferguson, Jake Gyllenhaal","$30,180,466",USA,Daniel Espinosa,"Horror, Sci-Fi, Thriller","English, Japanese, Vietnamese",54,Skydance Films,R,24 Mar 2017,104 min,movie,"Rhett Reese, Paul Wernick",2017,tt5442430,6.6,"129,757"
6300247031,The Poseidon Adventure,"Gene Hackman, Ernest Borgnine, Red Buttons, Carol Lynley",N/A,USA,"Ronald Neame, Irwin Allen(co-director)","Action, Adventure, Drama","English, Hebrew",N/A,20th Century Fox,PG,13 Dec 1972,117 min,movie,"Paul Gallico (novel), Stirling Silliphant (screenplay), Wendell Mayes (screenplay)",1972,tt0069113,7.1,"35,016"
B0009ETCOW,Tales from the Crypt: Stars of Season 4,John Kassir,N/A,USA,N/A,"Documentary, Short",English,N/A,N/A,NOT RATED,N/A,4 min,movie,N/A,2006,tt5962400,N/A,N/A
B000EDWKX8,Shopgirl,"Steve Martin, Claire Danes, Jason Schwartzman, Bridgette Wilson-Sampras","$10,082,747",USA,Anand Tucker,"Drama, Romance","English, Japanese",62,Touchstone Pictures,R,04 Nov 2005,106 min,movie,"Steve Martin (novel), Steve Martin (screenplay)",2005,tt0338427,6.4,"21,860"
B00000ICYG,Portrait of Jennie,"Jennifer Jones, Joseph Cotten, Ethel Barrymore, Lillian Gish",N/A,USA,William Dieterle,"Drama, Romance, Fantasy",English,N/A,Selznick International,APPROVED,22 Apr 1949,86 min,movie,"Robert Nathan (novel), Leonardo Bercovici (adaptation), Paul Osborn (screenplay), Peter Berneis (screenplay)",1948,tt0040705,7.8,"4,977"
6304239351,He Walked by Night,"Richard Basehart, Scott Brady, Roy Roberts, Whit Bissell",N/A,USA,"Alfred L. Werker, Anthony Mann","Crime, Film-Noir, Thriller","English, Spanish, Chinese",N/A,Eagle-Lion,APPROVED,10 May 1949,79 min,movie,"Crane Wilbur (story), Crane Wilbur (screenplay), John C. Higgins (screenplay), Harry Essex (additional dialogue)",1948,tt0040427,7.2,"3,620"
630300203X,The Good Son,"Macaulay Culkin, Elijah Wood, Wendy Crewson, David Morse",N/A,USA,Joseph Ruben,"Drama, Horror, Thriller",English,N/A,Twentieth Century Fox Home Entertainment,R,24 Sep 1993,87 min,movie,Ian McEwan,1993,tt0107034,6.4,"30,862"
B0000B1OC4,Super Size Me,"Chemeeka Walker, Dania Abu-Rmaileh, Amanda Kearsan, Christian Baucher",N/A,USA,Morgan Spurlock,"Documentary, Comedy, Drama",English,73,N/A,PG,11 Jun 2004,100 min,movie,Morgan Spurlock,2004,tt0390521,7.2,"90,924"
0767812166,Starman,"Jeff Bridges, Karen Allen, Charles Martin Smith, Richard Jaeckel",N/A,USA,John Carpenter,"Romance, Sci-Fi",English,71,Columbia Pictures,PG,14 Dec 1984,115 min,movie,"Bruce A. Evans, Raynold Gideon",1984,tt0088172,7.0,"36,053"
