title,asin,year,vfx,genres,runtimes,production_companies,rating,votes,directors
Forever Young,0790731916,1992,True,"['Drama', 'Romance', 'Sci-Fi']",102,"['Warner Bros.', 'Icon Entertainment International', 'Icon Productions']",6.3,39126.0,['Steve Miner']
Rambo: First Blood Part II,0784011214,1985,True,"['Action', 'Adventure', 'Thriller', 'War']",96,['Anabasis N.V.'],6.4,127681.0,['George P. Cosmatos']
Chloe,B0037QGS0A,2009,True,"['Drama', 'Mystery', 'Romance', 'Thriller']",96,"['StudioCanal', 'Montecito Picture Company, The', 'Outpost Studios']",6.3,60929.0,['Atom Egoyan']
The Whole Nine Yards,0790750414,2000,True,"['Comedy', 'Crime']",98,"['Franchise Pictures', 'Lansdown Films', ""Mel's Cite du Cinema"", 'Morgan Creek Entertainment Group', 'Nine Yards Productions', 'Rational Packaging Company']",6.7,96292.0,['Jonathan Lynn']
License to Drive,630186316X,1988,True,['Comedy'],88,"['Twentieth Century Fox', 'Davis Entertainment']",6.3,15153.0,['Greg Beeman']
The Full Monty,6304813759,1997,True,"['Comedy', 'Drama']",91,"['Redwave Films', 'Channel Four Films', 'Twentieth Century Fox']",7.2,87525.0,['Peter Cattaneo']
Red Dust,6301978390,1932,False,"['Drama', 'Romance']",83,['Metro-Goldwyn-Mayer (MGM)'],7.4,3085.0,['Victor Fleming']
Rosemary's Baby,0792101324,1968,False,"['Drama', 'Horror']",137,['William Castle Productions'],8.0,154787.0,['Roman Polanski']
La battaglia di Algeri,6302737249,1966,True,"['Drama', 'War']",121,"['Casbah Film', 'Igor Film']",8.1,42798.0,['Gillo Pontecorvo']
Elizabeth: The Golden Age,B000ZOXDFA,2007,True,"['Biography', 'Drama', 'History', 'War']",114,"['Universal Pictures', 'StudioCanal', 'Working Title Films']",6.9,58456.0,['Shekhar Kapur']
Big Momma's House,B00003CXJY,2000,True,"['Action', 'Comedy', 'Crime']",99,"['Twentieth Century Fox', 'Regency Enterprises', 'Runteldat Entertainment', 'Friendly Productions', 'Taurus Film', 'Nina Saxon Film Design']",5.1,71673.0,['Raja Gosnell']
