title,asin,year,vfx,genres,runtimes,production_companies,rating,votes,directors
Lagaan: Once Upon a Time in India,B00005U0JX,2001,True,"['Adventure', 'Drama', 'Musical', 'Romance', 'Sport']",224,"['Aamir Khan Productions', 'Ashutosh Gowariker Productions Pvt. Ltd.', 'Jhamu Sughand Productions']",8.2,83422.0,['Ashutosh Gowariker']
The Incredible Hulk,B001DHXT1G,2008,True,"['Action', 'Adventure', 'Sci-Fi']",112,"['Universal Pictures', 'Marvel Enterprises', 'Marvel Studios', 'Valhalla Motion Pictures', 'MVL Incredible Productions']",6.8,354314.0,['Louis Leterrier']
Mildred Pierce,0792840054,1945,True,"['Crime', 'Drama', 'Film-Noir', 'Mystery', 'Romance']",111,['Warner Bros.'],8.0,17955.0,['Michael Curtiz']
Snow White and the Huntsman,B005LAIHSG,2012,True,"['Action', 'Adventure', 'Drama', 'Fantasy']",127,"['Roth Films', 'Universal Pictures']",6.1,244746.0,['Rupert Sanders']
Vatel,B00005K3OU,2000,True,"['Biography', 'Drama', 'Romance']",103,"['Légende Films', 'Gaumont', 'Nomad Films', 'Timothy Burrill Productions', 'TF1 Films Production', 'Canal+']",6.6,6656.0,['Roland Joffé']
Chronicle,B005LAIGPA,2012,True,"['Sci-Fi', 'Thriller']",USA:84,"['Twentieth Century Fox', 'Davis Entertainment', 'Dune Entertainment']",7.1,217859.0,['Josh Trank']
Carrie,B00009QG7O,1976,True,['Horror'],98,['Red Bank Films'],7.4,138655.0,['Brian De Palma']
Farm House,B002EP8FF6,2008,True,"['Horror', 'Mystery', 'Thriller']",95,['Alliance Group Entertainment'],5.6,2105.0,['George Bessudo']
Predator 2,6301963725,1990,True,"['Action', 'Horror', 'Sci-Fi', 'Thriller']",108,"['Davis Entertainment', 'Lawrence Gordon Productions', 'Silver Pictures', 'Twentieth Century Fox']",6.2,118291.0,['Stephen Hopkins']
The Bridge at Remagen,0792843576,1969,True,"['Action', 'Drama', 'War']",115,['Wolper Pictures'],6.7,7153.0,['John Guillermin']
The Return of the Texas Chainsaw Massacre,0767833902,1994,True,"['Comedy', 'Horror', 'Thriller']",95::(uncut version),"['Genre Pictures', 'Return Productions', 'Ultra Muchos Productions']",3.2,16402.0,['Kim Henkel']
Meet the Spartans,B00177Y9ZW,2008,True,['Comedy'],Argentina:86,"['New Regency Pictures', 'Regency Enterprises']",2.7,93424.0,"['Jason Friedberg', 'Aaron Seltzer']"
They Died with Their Boots On,6301977165,1941,False,"['Biography', 'Drama', 'Romance', 'War', 'Western']",140,['Warner Bros.'],7.3,4876.0,['Raoul Walsh']
The Matrix Revolutions Revisited,B0001BKAEE,2004,False,,,,5.9,15.0,['Josh Oreck']
Gandhi,0800105141,1982,True,"['Biography', 'Drama', 'History']",191,"['International Film Investors', 'National Film Development Corporation of India (NFDC)', 'Goldcrest Films International', 'Indo-British', 'Indo-British Films']",8.1,189129.0,['Richard Attenborough']
Dellamorte Dellamore,6304178360,1994,True,"['Comedy', 'Horror']",105,"['Audifilm', 'Urania Film', 'K.G. Productions', 'Canal+', 'Silvio Berlusconi Communications', 'Bibo Productions', ""Fonds Eurimages du Conseil de l'Europe""]",7.3,17349.0,['Michele Soavi']
The Haunted Mansion,B0001A79EO,2003,True,"['Comedy', 'Family', 'Fantasy', 'Horror', 'Mystery']",UK:87,"['Walt Disney Pictures', 'Gunn Films', 'Doom Buggy Productions']",4.9,35088.0,['Rob Minkoff']
Casino,0783225792,1995,True,"['Crime', 'Drama']",178,"['Universal Pictures', 'Syalis DA', 'Légende Entreprises', 'De Fina-Cappa', 'GGG']",8.2,371748.0,['Martin Scorsese']
Old School,B00005JM1F,2003,True,['Comedy'],88,"['DreamWorks', 'Montecito Picture Company, The']",7.2,194770.0,['Todd Phillips']
White Heat,0790743531,1949,True,"['Action', 'Crime', 'Drama', 'Film-Noir']",114,['Warner Bros.'],8.2,22498.0,['Raoul Walsh']
Rambo,B0015XHP22,2008,True,"['Action', 'Thriller', 'War']",92,"['Lionsgate', 'The Weinstein Company', 'Millennium Films', 'Millennium Films', 'Equity Pictures Medienfonds GmbH & Co. KG IV', 'Emmett/Furla/Oasis Films (EFO Films)', 'Rogue Marble']",7.0,191171.0,['Sylvester Stallone']
The Descendants,B004UXUX4Q,2011,False,"['Comedy', 'Drama']",115,"['Fox Searchlight Pictures', 'Ad Hominem Enterprises', 'Dune Entertainment']",7.3,214728.0,['Alexander Payne']
R.I.P.D.,B008JFUPPI,2013,True,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']",USA:96,"['Universal Pictures', 'Original Film', 'Dark Horse Entertainment']",5.6,100200.0,['Robert Schwentke']
Wicker Park,B00067BBMS,2004,True,"['Drama', 'Mystery', 'Romance', 'Thriller']",114,"['Metro-Goldwyn-Mayer', 'Lakeshore Entertainment', ""Mel's Cite du Cinema""]",7.0,47708.0,['Paul McGuigan']
Gone in 60 Seconds,B00004Z4WR,1974,False,"['Action', 'Crime', 'Drama']",105,['H.B. Halicki Mercantile'],6.5,7023.0,['H.B. Halicki']
Bowling for Columbine,B00008DDVU,2002,False,"['Documentary', 'Crime', 'Drama']",120,"['United Artists', 'Alliance Atlantis Communications', 'Salter Street Films International', 'Vif Babelsberger Filmproduktion GmbH & Co. Zweite KG', 'Dog Eat Dog Films', 'Iconolatry Productions Inc.', 'TiMe Film- und TV-Produktions GmbH', 'United Broadcasting Inc.']",8.0,129282.0,['Michael Moore']
Convoy,B00000F2Y6,1978,True,"['Action', 'Drama']",110,"['EMI Films', 'United Artists Corporation']",6.3,12411.0,['Sam Peckinpah']
Atlantis: The Lost Empire,B00005RDSN,2001,True,"['Animation', 'Action', 'Adventure', 'Family', 'Fantasy', 'Sci-Fi']",95,"['Walt Disney Feature Animation', 'Walt Disney Pictures']",6.8,82027.0,"['Gary Trousdale', 'Kirk Wise']"
Konga,0792846729,1961,True,"['Horror', 'Sci-Fi']",90,['Merton Park Studios'],3.9,1012.0,['John Lemont']
Maniac,6304147074,2012,True,['Horror'],89,"['La Petite Reine', 'Studio 37', 'Canal+', 'Ciné+', 'Blue Underground']",6.1,30012.0,['Franck Khalfoun']
The Muppet Christmas Carol,6302794331,1992,True,"['Comedy', 'Drama', 'Family', 'Fantasy', 'Musical']",85,"['Walt Disney Pictures', 'Jim Henson Productions']",7.7,37437.0,['Brian Henson']
The Upside of Anger,B00005JNP4,2005,True,"['Comedy', 'Drama']",USA:118,"['New Line Cinema', 'Media 8 Entertainment', 'VIP 2 Medienfonds', 'VIP 3 Medienfonds', 'MDP Filmproduktion', 'Sunlight Productions', 'Greentrees Films']",6.9,19776.0,['Mike Binder']
Aoki Ôkami: chi hate umi tsukiru made,B001C4ZQ9I,2007,True,"['Action', 'Adventure', 'Drama']",Greece:136,"['Avex Inc.', 'DG Communications', 'Fields', 'Genki Shobou', 'H.I.S.', 'Japan Airlines', 'Japan FM Network', 'Kadokawa Haruki Jimusho', 'Shôchiku Eiga', 'Smart X', 'T&M', 'Tokyo FM Broadcasting Co.', 'Yahoo Japan', 'Yomiuri Shimbun, The']",6.3,702.0,"[""Shin'ichirô Sawai""]"
Volver,B000N3T0DW,2006,True,"['Comedy', 'Crime', 'Drama', 'Mystery']",121,"['Canal+ España', 'Deseo, El', 'Ministerio de Cultura', 'Televisión Española (TVE)']",7.6,82609.0,['Pedro Almodóvar']
The Paperboy,B009AMAKBI,2012,True,"['Drama', 'Thriller']",107,"['Millennium Films', 'Millennium Films', 'Lee Daniels Entertainment']",5.8,31296.0,['Lee Daniels']
Enchanted April,6302728657,1991,True,['Drama'],95,"['BBC Films', 'Miramax', 'Greenpoint Films']",7.4,5360.0,['Mike Newell']
Underworld: Rise of the Lycans,B001HN697M,2009,True,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi', 'Thriller']",92,"['Sketch Films', 'Lakeshore Entertainment', 'Screen Gems', 'UW3 Film Productions']",6.6,133610.0,['Patrick Tatopoulos']
Braveheart,079213690X,1995,True,"['Biography', 'Drama', 'History', 'War']",178,"['Icon Entertainment International', 'Ladd Company, The', 'B.H. Finance C.V.', 'Icon Productions']",8.4,815546.0,['Mel Gibson']
Die unendliche Geschichte,6303212395,1984,True,"['Adventure', 'Drama', 'Family', 'Fantasy']",102,"['Neue Constantin Film', 'Bavaria Studios', 'Westdeutscher Rundfunk (WDR)', 'Warner Bros.', 'Producers Sales Organization', 'Bavaria Film', 'Dieter Geissler Filmproduktion']",7.4,109573.0,['Wolfgang Petersen']
The Heat,B00E8RK5OC,2013,True,"['Action', 'Comedy', 'Crime']",117,"['Twentieth Century Fox', 'Chernin Entertainment', 'TSG Entertainment', 'Ingenious Media', 'Big Screen Productions', 'Ingenious Film Partners']",6.6,143604.0,['Paul Feig']
Srpski film,B005ER6SNM,2010,True,"['Crime', 'Horror', 'Mystery', 'Thriller']",104,['Contra Film'],5.2,45892.0,['Srdjan Spasojevic']
Changeling,B00188M5TM,2008,True,"['Biography', 'Crime', 'Drama', 'History', 'Mystery', 'Thriller']",141,"['Imagine Entertainment', 'Malpaso Productions', 'Relativity Media']",7.8,211213.0,['Clint Eastwood']
You Don't Know Jack,B003EV6DCG,2010,True,"['Biography', 'Drama']",134,"['Bee Holder Productions', 'Cine Mosaic', 'HBO Films', 'Royal Oak Films']",7.7,23468.0,['Barry Levinson']
Hustle & Flow,B000BITUWU,2005,True,"['Crime', 'Drama', 'Music']",116,"['Crunk Pictures', 'Homegrown Pictures', 'MTV Films', 'New Deal Productions']",7.4,35086.0,['Craig Brewer']
How Stella Got Her Groove Back,6305203512,1998,True,"['Comedy', 'Drama', 'Romance']",124,['Twentieth Century Fox'],5.6,5842.0,['Kevin Rodney Sullivan']
Scary Movie,B00004Z4WQ,2000,True,['Comedy'],88,"['Dimension Films', 'Wayans Bros. Entertainment', 'Gold/Miller Productions', 'Brad Grey Pictures']",6.2,201137.0,['Keenen Ivory Wayans']
Layer Cake,B0009X7BD2,2004,True,"['Crime', 'Drama', 'Thriller']",105,"['Sony Pictures Classics', 'Marv Films']",7.4,143292.0,['Matthew Vaughn']
The Queen,B00005JPAM,2006,True,"['Biography', 'Drama']",103,"['Pathé Pictures International', 'Granada Film Productions', 'Pathé Renn Productions', 'BIM Distribuzione', 'France 3 Cinéma', 'Canal+', 'Future Films', 'Scott Rudin Productions']",7.3,92138.0,['Stephen Frears']
Beneath the Planet of the Apes,6301661710,1970,True,"['Action', 'Adventure', 'Sci-Fi']",95,"['Twentieth Century Fox', 'APJAC Productions']",6.1,36064.0,['Ted Post']
Burnt Offerings,6301966171,1976,True,"['Horror', 'Mystery', 'Thriller']",116,"['Produzioni Europee Associate (PEA)', 'Dan Curtis Productions']",6.5,7524.0,['Dan Curtis']
Black Swan,B0041KKYEM,2010,True,"['Drama', 'Thriller']",108,"['Fox Searchlight Pictures', 'Cross Creek Pictures', 'Protozoa Pictures', 'Phoenix Pictures', 'Dune Entertainment']",8.0,599585.0,['Darren Aronofsky']
The Conjuring,B00BEIYMAG,2013,True,"['Horror', 'Mystery', 'Thriller']",112,"['New Line Cinema', 'Safran Company, The', 'Evergreen Media Group']",7.5,347757.0,['James Wan']
TV Nation: Volume One,B001QIVEVE,1997,False,"['Documentary', 'Comedy']",98::(VHS),['Dog Eat Dog Films'],4.6,430.0,['Michael Moore']
District 9,B002SJIO4A,2009,True,"['Sci-Fi', 'Thriller']",112,"['TriStar Pictures', 'Block / Hanson', 'WingNut Films', 'Canadian Film or Video Production Tax Credit (CPTC)', 'Covert Media', 'Department of Trade and Industry of South Africa', 'District 9', 'Key Creatives', 'Majority Entertainment', 'New Zealand Post Digital and Visual Effects Grant', 'Province of British Columbia Production Services Tax Credit', 'QED International']",8.0,570764.0,['Neill Blomkamp']
Pollock,B00005KHJJ,2000,True,"['Biography', 'Drama']",122,"['Brant-Allen', 'Fred Berner Films', 'Pollock Films', 'Zeke Productions']",7.0,24348.0,['Ed Harris']
The Road,B001FB5634,2009,True,"['Adventure', 'Drama']",111,"['Dimension Films', '2929 Productions', 'Nick Wechsler Productions', 'Chockstone Pictures']",7.3,192839.0,['John Hillcoat']
Warm Bodies,B008220BLG,2013,True,"['Comedy', 'Horror', 'Romance']",98,"['Summit Entertainment', 'Make Movies', 'Mandeville Films', 'Quebec Film and Television Tax Credit']",6.9,197907.0,['Jonathan Levine']
Brothers,B001FB55L2,2009,True,"['Drama', 'Thriller', 'War']",105,"['Lionsgate', 'Relativity Media', 'Sighvatsson Films', 'Michael De Luca Productions', 'Palomar Pictures (II)']",7.1,95803.0,['Jim Sheridan']
The Living Daylights,6302380294,1987,True,"['Action', 'Adventure', 'Thriller']",130,['Eon Productions'],6.7,74900.0,['John Glen']
Stripper Method: The Complete First Season,B00006RCNW,2008,False,['Reality-TV'],USA:363,['Vegas Undressed'],,,['Jason Southwell']
Monster's Ball,B00005YU1M,2001,True,"['Drama', 'Romance']",111,"['Lee Daniels Entertainment', 'Lions Gate Films']",7.1,75080.0,['Marc Forster']
Working Girl,630141277X,1988,True,"['Comedy', 'Drama', 'Romance']",113,['Twentieth Century Fox'],6.7,44611.0,['Mike Nichols']
My Cousin Vinny,6302516986,1992,True,"['Comedy', 'Crime']",120,"['Palo Vista Productions', 'Peter V. Miller Investment Corp.', 'Twentieth Century Fox']",7.5,89434.0,['Jonathan Lynn']
Pleasantville,0780627024,1998,True,"['Comedy', 'Drama', 'Fantasy']",124,"['New Line Cinema', 'Larger Than Life Productions']",7.5,109009.0,['Gary Ross']
Jackass 3D,B003Q6D2AA,2010,True,"['Documentary', 'Action', 'Comedy']",95,"['Dickhouse Productions', 'Film Roman Productions', 'MTV Films']",7.0,50606.0,['Jeff Tremaine']
Alien,6300247171,1979,True,"['Horror', 'Sci-Fi']",117,"['Brandywine Productions', 'Twentieth Century-Fox Productions']",8.5,641128.0,['Ridley Scott']
Blazing Saddles,0790731487,1974,True,"['Comedy', 'Western']",93,"['Crossbow Productions', 'Warner Bros.']",7.8,106360.0,['Mel Brooks']
The Man Who Shot Liberty Valance,0792106989,1962,False,"['Drama', 'Western']",123,"['Paramount Pictures', 'John Ford Productions']",8.1,58082.0,['John Ford']
The Great Gatsby,B0067EKYS6,2013,True,"['Drama', 'Romance']",143,"['Warner Bros.', 'Village Roadshow Pictures', 'A&E Television Networks', 'Bazmark Films', 'Red Wagon Entertainment', 'Spectrum Films']",7.3,398400.0,['Baz Luhrmann']
Dragonslayer,6300214052,1981,True,"['Action', 'Adventure', 'Fantasy']",108,"['Paramount Pictures', 'Walt Disney Productions']",6.7,11909.0,['Matthew Robbins']
The Wolf of Wall Street,B00H9KKGTO,2013,True,"['Biography', 'Comedy', 'Crime', 'Drama']",180,"['Red Granite Pictures', 'Appian Way', 'Sikelia Productions', 'EMJAG Productions']",8.2,908365.0,['Martin Scorsese']
The House on Telegraph Hill,B000CNE08I,1951,False,"['Crime', 'Drama', 'Film-Noir', 'Mystery', 'Thriller']",93,['Twentieth Century Fox'],7.0,2154.0,['Robert Wise']
Reading Rainbow Collectors Edition,0783227507,2012,False,"['Short', 'Family']",60,['RRKIDZ'],,,['Mark Wolfe']
Back to the Future 2,6301666569,2007,False,['Comedy'],,,,,['Conrad Ephrem Stuyvesant']
Silverado,0767814037,1985,True,"['Action', 'Crime', 'Drama', 'Romance', 'Western']",133,"['Columbia Pictures Corporation', 'Delphi IV Productions', 'Eaves Movie Ranch']",7.2,30418.0,['Lawrence Kasdan']
The Raven,B005S9EJ8W,2012,True,"['Crime', 'Mystery', 'Thriller']",110,"['Intrepid Pictures', 'FilmNation Entertainment', 'Galavis Film', 'Pioneer Pictures', 'Relativity Media']",6.4,76714.0,['James McTeigue']
Anonymous,B0068MNNOE,2011,True,"['Drama', 'Thriller']",130,"['Columbia Pictures', 'Relativity Media', 'Centropolis Entertainment', 'Studio Babelsberg', 'Anonymous Pictures', 'Vierzehnte Babelsberg Film', 'Siebente Babelsberg Film', 'Achte Babelsberg Film']",6.9,36299.0,['Roland Emmerich']
The Godfather,B000003KHS,1972,True,"['Crime', 'Drama']",175,"['Paramount Pictures', 'Alfran Productions']",9.2,1285236.0,['Francis Ford Coppola']
Exorcist: The Beginning,B00065HKKW,2004,True,"['Horror', 'Mystery', 'Thriller']",114,"['Morgan Creek Entertainment Group', 'Dominion Productions', 'Post Amazers']",5.1,30095.0,['Renny Harlin']
Waterworld,0783219857,1995,True,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",135,"['Universal Pictures', 'Gordon Company', 'Davis Entertainment', 'Licht/Mueller Film Corporation']",6.1,154951.0,['Kevin Reynolds']
Sleepless in Seattle,0800130944,1993,True,"['Comedy', 'Drama', 'Romance']",105,['TriStar Pictures'],6.8,133471.0,['Nora Ephron']
Journey to the Center of the Earth,B0016Q2D5M,2008,True,"['Action', 'Adventure', 'Family', 'Fantasy', 'Sci-Fi']",93,"['New Line Cinema', 'Walden Media', ""Mel's Cite du Cinema""]",5.8,94899.0,['Eric Brevig']
Forrest Gump,0792140923,1994,True,"['Drama', 'Romance']",142,['Paramount Pictures'],8.8,1420398.0,['Robert Zemeckis']
Traffic,B00003CXN3,2000,True,"['Crime', 'Drama', 'Thriller']",147,"['Bedford Falls Company, The', 'Compulsion Inc.', 'Initial Entertainment Group', 'Splendid Medien AG', 'USA Films']",7.6,178395.0,['Steven Soderbergh']
Chaos,B0010YVCB6,2005,True,"['Action', 'Crime', 'Drama', 'Thriller']",106,"['Mobius International', 'Chaotic Productions', 'Chaotic Films', 'Möbius Entertainment', 'Epsilon Motion Pictures', 'Pierce/Williams Entertainment', 'Current Entertainment', 'Rampage Entertainment', 'Zero Gravity Management']",6.5,46398.0,['Tony Giglio']
Eating Raoul,6300247694,1982,True,"['Comedy', 'Crime']",90,"['Bartel', 'Films Incorporated', 'Quartet']",6.8,5622.0,['Paul Bartel']
Gomorra,B001KWHO9W,2008,True,"['Crime', 'Drama']",137,"['Fandango', 'Rai Cinema', 'Sky', 'Ministero per i Beni e le Attività Culturali (MiBAC)', 'MEDIA Programme of the European Union']",7.0,40956.0,['Matteo Garrone']
Ripley's Game,B00018D40O,2002,True,"['Crime', 'Drama', 'Mystery', 'Thriller']",110,"['Baby Films', 'Cattleya', 'Mr. Mudd']",6.7,15423.0,['Liliana Cavani']
The Island,B000BO0LH2,2005,True,"['Action', 'Adventure', 'Romance', 'Sci-Fi', 'Thriller']",136,"['DreamWorks', 'Warner Bros.', 'Parkes+MacDonald Image Nation', 'K/O Paper Products', 'Platinum Dunes']",6.9,277100.0,['Michael Bay']
The Wolverine,B0090SI56Y,2013,True,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",126,"['Twentieth Century Fox', 'Marvel Entertainment', ""Donners' Company"", 'TSG Entertainment', 'Ingenious Media', 'Big Screen Productions', 'Bad Hat Harry Productions']",6.7,368211.0,['James Mangold']
Trapped,B00007AJE1,2002,True,"['Action', 'Crime', 'Drama', 'Thriller']",106,"['Columbia Pictures', 'Senator Film Produktion', 'Canton Company, The', 'Mandolin Entertainment', 'Propaganda Films', '24 Hours Productions']",6.2,20781.0,['Luis Mandoki']
Blade: Trinity,B0007V6IT4,2004,True,"['Action', 'Adventure', 'Horror', 'Sci-Fi', 'Thriller']",113,"['New Line Cinema', 'Shawn Danielle Productions Ltd.', 'Amen Ra Films', 'Marvel Enterprises', 'Peter Frankfurt Productions', 'Imaginary Forces']",5.9,144759.0,['David S. Goyer']
Kill Bill: Vol. 1,B00005JMEW,2003,True,"['Action', 'Crime', 'Thriller']",111,"['Miramax', 'A Band Apart', 'Super Cool ManChu']",8.1,816264.0,['Quentin Tarantino']
The Host,B000PKG8SS,2013,True,"['Action', 'Adventure', 'Romance', 'Sci-Fi', 'Thriller']",125,"['Chockstone Pictures', 'Nick Wechsler Productions', 'Silver Reel']",5.9,99396.0,['Andrew Niccol']
The Force Returns: Star Wars Trilogy Special Edition,0793906091,1997,False,['Documentary'],,['Gold Coast Television Entertainment Inc.'],,,
Friends Gag Reel: Season 9,B000068CNX,2005,False,"['Short', 'Comedy']",7,,8.7,110.0,
Dekalog,B00004S89U,1989,False,['Drama'],572,"['Sender Freies Berlin', 'Telewizja Polska', 'Zespol Filmowy ""Tor""']",9.1,15456.0,['Krzysztof Kieslowski']
Your Sister's Sister,B0089XJXRQ,2011,False,"['Comedy', 'Drama']",90,['Ada Films'],6.7,23402.0,['Lynn Shelton']
Red Dawn,B002ZG98R8,2012,True,"['Action', 'Sci-Fi', 'Thriller']",93,"['FilmDistrict', 'Contrafilm', 'FilmNation Entertainment', 'Metro-Goldwyn-Mayer (MGM)', 'United Artists', 'Vincent Newman Entertainment']",5.4,65833.0,['Dan Bradley']
Night of the Creeps,6301935136,1986,True,"['Comedy', 'Horror', 'Sci-Fi']",88,"['TriStar Pictures', 'Delphi V Productions']",6.8,16349.0,['Fred Dekker']
It's a Mad Mad Mad Mad World,B0000040E9,1963,True,"['Action', 'Adventure', 'Comedy', 'Crime']",USA:154::(edited version),['Casey Productions'],7.6,31800.0,['Stanley Kramer']
Arlington Road,0767836286,1999,True,"['Crime', 'Drama', 'Thriller']",117,"['Screen Gems', 'Lakeshore Entertainment', 'Arlington Road Productions Corporation', 'Gorai / Samuelson Productions', 'Samuelson Productions']",7.2,73563.0,['Mark Pellington']
Pastor Jones: The Complete First Season,B00005JNOG,2010,False,['Comedy'],,['Nu-Lite Entertainment'],5.2,14.0,['Jean-Claude La Marre']
Amelie rennt,B0000640VO,2017,True,"['Adventure', 'Drama']",,"['Helios Sustainable Films', 'Hessischer Rundfunk (HR)', 'Lieblingsfilm', 'Rundfunk Berlin-Brandenburg (RBB)', 'Südwestrundfunk (SWR)']",6.0,43.0,['Tobias Wiemann']
Bend of the River,6300184935,1952,False,"['Action', 'Adventure', 'Romance', 'Western']",91,['Universal International Pictures (UI)'],7.3,6314.0,['Anthony Mann']
The Crow,6303187064,1994,True,"['Action', 'Drama', 'Fantasy']",102,"['Crowvision Inc.', 'Edward R. Pressman Film', 'Entertainment Media Investment Corporation', 'Jeff Most Productions', 'Miramax']",7.6,146078.0,['Alex Proyas']
Skyfall,B006X040NY,2012,True,"['Action', 'Adventure', 'Thriller']",143,"['Eon Productions', 'B23', 'Columbia Pictures', 'Danjaq', 'Metro-Goldwyn-Mayer', 'United Artists']",7.8,559838.0,['Sam Mendes']
Philomena,B00GSBMNOQ,2013,True,"['Biography', 'Drama']",98,"['The Weinstein Company', 'Yucaipa Films', 'Pathé', 'BBC Films', 'British Film Institute (BFI)', 'Canal+', 'Ciné+', 'Baby Cow Productions', 'Magnolia Mae Films', 'Baby Cow Films']",7.6,83363.0,['Stephen Frears']
EverAfter,6305265488,1998,True,"['Comedy', 'Drama', 'Romance']",121,['Twentieth Century Fox'],7.0,61383.0,['Andy Tennant']
Scrooged,6305609756,1988,True,"['Comedy', 'Drama', 'Fantasy', 'Romance']",101,"['Paramount Pictures', 'Mirage Productions']",7.0,68726.0,['Richard Donner']
The Tall Man,B00887490Y,2012,True,"['Crime', 'Drama', 'Horror', 'Mystery', 'Thriller']",106,"['Minds Eye Entertainment', 'Cold Rock Productions BC', 'Forecast Pictures', 'Iron Ocean Films', 'Radar Films', 'SND Films']",5.9,33823.0,['Pascal Laugier']
Prometheus,B005LAIHXQ,2012,True,"['Adventure', 'Mystery', 'Sci-Fi']",124,"['Twentieth Century Fox', 'Dune Entertainment', 'Scott Free Productions', 'Brandywine Productions']",7.0,507413.0,['Ridley Scott']
Cold Mountain,B0001MDP36,2003,True,"['Adventure', 'Drama', 'History', 'Romance', 'War']",154,"['Miramax', 'Mirage Enterprises', 'Bona Fide Productions', 'Castel Film Romania', 'Cattleya']",7.2,125090.0,['Anthony Minghella']
The Last Samurai,B0001JXOUS,2003,True,"['Action', 'Drama', 'History', 'War']",154,"['Warner Bros.', 'Bedford Falls Company, The', 'Cruise/Wagner Productions', 'Radar Pictures']",7.7,343111.0,['Edward Zwick']
The Palm Beach Story,6300185206,1942,False,"['Comedy', 'Romance']",88,['Paramount Pictures'],7.7,9175.0,['Preston Sturges']
American Reunion,B005LAIH9K,2012,True,['Comedy'],113,"['Universal Pictures', 'Practical Pictures', 'Relativity Media', 'Zoe Pictures']",6.7,182070.0,"['Jon Hurwitz', 'Hayden Schlossberg']"
Escape Plan,B00H1RMOI6,2013,True,"['Action', 'Crime', 'Mystery', 'Sci-Fi', 'Thriller']",115,"['Summit Entertainment', 'Mark Canton Productions', 'Emmett/Furla/Oasis Films (EFO Films)', 'Envision Entertainment', 'Boies / Schiller Film Group', 'Atmosphere Entertainment MM', 'Knightsbridge Entertainment']",6.7,194159.0,['Mikael Håfström']
Mystery Science Theater 3000,6304022646,1988,True,"['Comedy', 'Sci-Fi']",92::(199 episodes),"['Abominable Pictures', 'Alternaversal', 'Best Brains', 'Comedy Central', 'Comedy Central', 'Home Box Office (HBO)', 'KTMA', 'Sci-Fi Channel, The', 'Shout! Factory']",8.6,20356.0,"['Jim Mallon', 'Kevin Murphy', 'Trace Beaulieu', 'Vince Rodriguez', 'Michael J. Nelson', 'Joel Hodgson', 'Todd Ziegler']"
Romancing the Stone,6300247821,1984,True,"['Action', 'Adventure', 'Comedy', 'Romance']",106,"['Twentieth Century Fox', 'El Corazon Producciones S.A.', 'Nina Saxon Film Design', 'SLM Production Group']",6.9,69688.0,['Robert Zemeckis']
Looker,630027148X,1981,True,"['Drama', 'Sci-Fi', 'Thriller']",93,"['Ladd Company, The', 'Warner Bros.']",6.1,3640.0,['Michael Crichton']
Just Like Heaven,B000CQM4XI,2005,True,"['Comedy', 'Fantasy', 'Romance']",95,"['DreamWorks', 'Parkes+MacDonald Image Nation']",6.7,88023.0,['Mark Waters']
Justice League: Doom,B005SH63HO,2012,False,"['Animation', 'Action', 'Fantasy', 'Sci-Fi']",75,"['Warner Premiere', 'DC Entertainment', 'Warner Bros. Animation']",7.5,24373.0,['Lauren Montgomery']
The Cider House Rules,6305949638,1999,True,"['Drama', 'Romance']",126,"['FilmColony', 'Miramax', 'Nina Saxon Film Design']",7.4,83680.0,['Lasse Hallström']
Paycheck,B0001NBNDY,2003,True,"['Action', 'Mystery', 'Sci-Fi', 'Thriller']",119,"['Paramount Pictures', 'DreamWorks', 'Davis Entertainment', 'Lion Rock Productions', 'Solomon/Hackett Productions', 'Province of British Columbia Film Incentive BC']",6.3,94162.0,['John Woo']
Vampire Academy,B00HQOFAKI,2014,True,"['Action', 'Comedy', 'Fantasy', 'Horror', 'Mystery']",104,"['Angry Films', 'Kintop Pictures', 'Preger Entertainment', 'Reliance Entertainment']",5.6,45666.0,['Mark Waters']
The Dark Knight,B00005JPY0,2008,True,"['Action', 'Crime', 'Drama', 'Thriller']",152,"['Warner Bros.', 'Legendary Entertainment', 'Syncopy', 'DC Comics']",9.0,1858655.0,['Christopher Nolan']
"Monsters, Inc.",B00005JKDQ,2001,False,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']",92,"['Pixar Animation Studios', 'Walt Disney Pictures']",8.1,659705.0,"['Pete Docter', 'David Silverman', 'Lee Unkrich']"
Moulin Rouge,B00005QZ7U,1952,False,"['Biography', 'Drama', 'Music', 'Romance']",119,"['Romulus Films', 'Moulin Productions Inc.']",7.2,4134.0,['John Huston']
Six Days Seven Nights,5554819125,1998,True,"['Action', 'Adventure', 'Comedy', 'Romance']",98,"['Caravan Pictures', 'Northern Lights Entertainment', 'Roger Birnbaum Productions', 'Touchstone Pictures']",5.8,64522.0,['Ivan Reitman']
On Her Majesty's Secret Service,6302380596,1969,True,"['Action', 'Adventure', 'Thriller']",142,['Eon Productions'],6.8,65616.0,['Peter R. Hunt']
The Last Temptation of Christ,1559409037,1988,True,['Drama'],164,"['Universal Pictures', 'Cineplex Odeon Films']",7.6,43079.0,['Martin Scorsese']
