title,asin,actors,binding,brand,directors,ean,edition,formatted_price,genre,isbn,label,manufacturer,price_and_currency,product_group,product_type_name,publication_date,publisher,region,release_date,running_time,sales_rank,studio,upc
Girl Most Likely,B00DL47KWI,"[Kristen Wiig, Matt Dillon, Darren Criss]",DVD,,"[Shari Springer Berman, Robert Pulcini]",,,,,,Roadside Attractions,Roadside Attractions,"(None, None)",DVD,ABIS_DVD,,Roadside Attractions,US,,,,Roadside Attractions,
Winter's Tale (2013) (Blu-ray+DVD),B00I6JOD8M,"[Colin Farrell, Jessica Brown Findley]",Blu-ray,Warner Manufacturing,[Akiva Goldman],0883929387809,Standard Edition,$6.25,,,WarnerBrothers,WarnerBrothers,"(9.42, USD)",DVD,ABIS_DVD,2015-02-17,WarnerBrothers,US,2014-06-24,120,6150,WarnerBrothers,883929387809
"Sex and the City: Season 6, Part 1",B0001ENX5E,"[Sarah Jessica Parker, Cynthia Nixon, Kristin Davis, Kim Cattrall]",DVD,Warner Manufacturing,[],9780783127149,,$1.49,,0783127146,HBO Studios,HBO Studios,"(13.75, USD)",DVD,ABIS_DVD,2012-02-07,HBO Studios,US,2012-01-17,360,81301,HBO Studios,026359890420
...And God Created Woman (The Criterion Collection),0780023110,"[Brigitte Bardot, Curd Jürgens, Jean-Louis Trintignant, Jane Marken, Jean Tissier]",DVD,,[Roger Vadim],9780780023116,The Criterion Collection,$17.97,,0780023110,Criterion,Criterion,"(17.97, USD)",DVD,ABIS_DVD,2000-07-11,Criterion,US,2000-11-21,90,52299,Criterion,037429147825
Agnes of God [VHS],6302860326,"[Jane Fonda, Anne Bancroft, Meg Tilly, Anne Pitoniak, Winston Rekert]",VHS Tape,,[Norman Jewison],9786302860320,,$3.46,Drama,6302860326,Sony Pictures Home E,Sony Pictures Home E,"(4.46, USD)",Video,ABIS_VIDEO,,Sony Pictures Home E,US,1996-01-30,98,181674,Sony Pictures Home E,043396605633
Earth 2 - The Complete Series,B0009JE6G6,[Debrah Farentino Clancy Brown Jessica Steen Antonio Sabato],DVD,Earth,"[Janet Davidson, Félix Enríquez Alcalá, Frank De Palma, Daniel Sackheim, Joe Ann Fogle]",9781417051069,,$20.31,,141705106X,Universal Studios Home Entertainment,Universal Studios Home Entertainment,"(21.02, USD)",DVD,ABIS_DVD,,Universal Studios Home Entertainment,US,2005-07-19,2052,32120,Universal Studios Home Entertainment,025192780325
The Missouri Breaks [VHS],0792837339,"[Marlon Brando, Jack Nicholson, Randy Quaid, Kathleen Lloyd, Frederic Forrest]",VHS Tape,,[Arthur Penn],9780792837336,,$5.99,Westerns,0792837339,Fox Home Entertainme,Fox Home Entertainme,"(5.99, USD)",Video,ABIS_VIDEO,,Fox Home Entertainme,US,2002-07-30,126,312632,Fox Home Entertainme,027616622938
Death Race 2 (Unrated Edition),B0046BI81W,"[Danny Trejo, Ving Rhames, Sean Bean, Luke Goss, Frederick Koehler]",DVD,Universal Studios,[Roel Reine],0025192050015,Unrated Edition,$3.00,,,Universal Studios Home Entertainment,Universal Studios Home Entertainment,"(9.25, USD)",DVD,ABIS_DVD,2015-09-01,Universal Studios Home Entertainment,US,2011-01-18,101,12851,Universal Studios Home Entertainment,025192050015
L'Eclisse (The Criterion Collection),B0007989Y8,"[Alain Delon, Monica Vitti, Francisco Rabal, Louis Seigner, Lilla Brignone]",DVD,Image Entertainment,[Michelangelo Antonioni],9780780029590,Criterion Collection,$50.91,,0780029593,Criterion,Criterion,"(50.91, USD)",DVD,ABIS_DVD,2005-03-01,Criterion,US,2005-03-15,118,112515,Criterion,037429202623
Osmosis Jones,B00005QAQH,"[Laurence Fishburne, Chris Rock, David Hyde Pierce, Brandy Norwood, William Shatner]",DVD,Warner Manufacturing,"[Bobby Farrelly, Peter Farrelly]",9780790761480,,$48.00,,0790761483,Warner Home Video,Warner Home Video,"(49.99, USD)",DVD,ABIS_DVD,,Warner Home Video,US,2001-11-13,95,16559,Warner Home Video,085392132324
Roy Orbison - A Black & White Night (DTS),B0000203YR,"[Roy Orbison, Jackson Browne, T Bone Burnett, Elvis Costello, k.d. lang]",DVD,Image Entertainment,[],0014381882629,,$11.29,,,Image Entertainment,Image Entertainment,"(27.97, USD)",DVD,ABIS_DVD,,Image Entertainment,US,1999-11-09,64,76056,Image Entertainment,014381882629
Gossip,B00004YA67,"[James Marsden, Lena Headey, Norman Reedus, Kate Hudson, Eric Bogosian]",DVD,Warner Manufacturing,[Davis Guggenheim],9780790749976,,$14.13,,0790749971,Warner Home Video,Warner Home Video,"(18.17, USD)",DVD,ABIS_DVD,,Warner Home Video,US,2000-10-31,90,41950,Warner Home Video,085391832423
Black Mask [VHS],6305604789,"[Jet Li, Ching Wan Lau, Karen Mok, Françoise Yip, Kong Lung]",VHS Tape,,[Daniel Lee],9786305604785,,$6.99,,6305604789,Live / Artisan,Live / Artisan,"(6.99, USD)",Video,ABIS_VIDEO,,Live / Artisan,US,2000-02-07,99,594899,Live / Artisan,012236105183
Broken Arrow [VHS],6301798600,"[James Stewart, Jeff Chandler, Debra Paget, Basil Ruysdael, Will Geer]",VHS Tape,,[Delmer Daves],9786301798600,VHS video,$6.74,,6301798600,20th Century Fox,20th Century Fox,"(18.94, USD)",Video,ABIS_VIDEO,1988-04-30,20th Century Fox,US,1998-01-01,93,127063,20th Century Fox,086162131035
The Gospel According to St. Matthew [VHS],6301640799,"[Enrique Irazoqui, Margherita Caruso, Susanna Pasolini, Marcello Morante, Mario Socrate]",VHS Tape,,[Pier Paolo Pasolini],9786301640794,VHS video,$12.99,,6301640799,Vci Video,Vci Video,"(12.99, USD)",Video,ABIS_VIDEO,1990-07-31,Vci Video,US,2002-06-25,136,416701,Vci Video,089859071508
Alien vs. Predator / Aliens vs. Predator: Requiem (Unrated Two-Pack),B001451HXO,"[Steven Pasquale, Reiko Aylesworth, John Ortiz]",DVD,TCFHE,[],0024543511489,,$199.99,Fantasy,,20th Century Fox,20th Century Fox,"(199.99, USD)",DVD,ABIS_DVD,2014-05-06,20th Century Fox,US,2008-04-15,101,127230,20th Century Fox,024543511489
Silkwood [VHS],6302844061,"[Meryl Streep, Kurt Russell, Cher, Craig T. Nelson, Diana Scarwid]",VHS Tape,,[Mike Nichols],9786302844061,,$6.99,,6302844061,Nelson Entertainment,Nelson Entertainment,"(6.99, USD)",Video,ABIS_VIDEO,,Nelson Entertainment,US,,131,208282,Nelson Entertainment,042995137736
A Funny Thing Happened on the Way to the Forum [VHS],079283755X,"[Zero Mostel, Phil Silvers, Buster Keaton, Michael Crawford, Jack Gilford]",VHS Tape,,[Richard Lester],9780792837558,,$2.00,,079283755X,Fox Home Entertainme,Fox Home Entertainme,"(5.98, USD)",Video,ABIS_VIDEO,,Fox Home Entertainme,US,1998-01-06,100,295605,Fox Home Entertainme,027616683939
Three Smart Girls [VHS],6303328164,"[Binnie Barnes, Charles Winninger, Alice Brady, Ray Milland, Mischa Auer]",VHS Tape,,[Henry Koster],9786303328164,,$1.79,,6303328164,Universal Studios Ho,Universal Studios Ho,"(9.95, USD)",Video,ABIS_VIDEO,,Universal Studios Ho,US,1995-01-17,84,195692,Universal Studios Ho,096898199834
Baise-Moi,B00005U12T,"[Raffaëla Anderson, Karen Lancaume, Céline Beugnot, Adama Niane, Christophe Claudy Landry]",DVD,,"[Coralie, Virginie Despentes]",0681283001313,,,,,Remstar Canada,Remstar Canada,"(None, None)",DVD,ABIS_DVD,,Remstar Canada,US,2005-11-22,77,158577,Remstar Canada,681283001313
Flight of the Intruder [VHS],630208735X,"[Danny Glover, Willem Dafoe, Brad Johnson (II), Rosanna Arquette, Tom Sizemore]",VHS Tape,,[John Milius],9786302087352,VHS video,$3.98,,630208735X,Paramount,Paramount,"(3.98, USD)",Video,ABIS_DVD,1991-06-30,Paramount,US,1998-09-01,115,108956,Paramount,097363210931
Beginners,B004A8ZWV0,"[Ewan McGregor, Christopher Plummer]",DVD,Universal,[Mike Mills],0025192095139,,$7.49,,,Universal,Universal,"(8, USD)",DVD,ABIS_DVD,2014-02-25,Universal,US,2011-11-15,104,25091,Universal,025192095139
Head in the Clouds [VHS],B0006J27WE,"[Charlize Theron, Stuart Townsend, Penélope Cruz, Thomas Kretschmann, Steven Berkoff]",VHS Tape,,[John Duigan],9781404962781,,$3.00,Romance,1404962786,Sony Pictures,Sony Pictures,"(3, USD)",Video,ABIS_VIDEO,2004-11-29,Sony Pictures,US,2005-01-25,132,319497,Sony Pictures,043396069589
House on 92nd Street [VHS],630345786X,"[William Eythe, Lloyd Nolan, Signe Hasso, Gene Lockhart, Leo G. Carroll]",VHS Tape,,[Henry Hathaway],9786303457864,,$6.85,,630345786X,Fox Home Entertainme,Fox Home Entertainme,"(12.99, USD)",Video,ABIS_VIDEO,,Fox Home Entertainme,US,1995-06-07,88,290169,Fox Home Entertainme,086162867033
Hoodlum,0792838076,"[Laurence Fishburne, Tim Roth, Vanessa Williams, Andy Garcia, Cicely Tyson]",DVD,TWENTIETH CENTURY FOX HOME ENT,[Bill Duke],9780792838074,DVD Video,$12.67,,0792838076,MGM (Video & DVD),MGM (Video & DVD),"(26.85, USD)",DVD,ABIS_DVD,2014-01-21,MGM (Video & DVD),US,2004-01-01,130,45130,MGM (Video & DVD),027616699527
The Believer [VHS],B00008AOSA,[],VHS Tape,,[],9781588177261,,,Drama,1588177262,"Gaiam Americas, Inc","Gaiam Americas, Inc","(None, None)",Video,ABIS_VIDEO,,"Gaiam Americas, Inc",US,2003-04-22,99,353891,"Gaiam Americas, Inc",031398825937
The Cecil B. DeMille Collection (Cleopatra/ The Crusades/ Four Frightened People/ Sign of the Cross/ Union Pacific),B000E8JO32,"[Cecil B. DeMille, Loretta Young, Henry Wilcoxon, Ian Keith, C. Aubrey Smith]",DVD,Universal Studios,[],0025192948725,,$25.90,Drama,,Universal Studios Home Entertainment,Universal Studios Home Entertainment,"(39.4, USD)",DVD,ABIS_DVD,,Universal Studios Home Entertainment,US,2006-05-23,571,62573,Universal Studios Home Entertainment,025192948725
One Fine Day [VHS],6304432119,"[Michelle Pfeiffer, George Clooney, Mae Whitman, Alex D. Linz, Charles Durning]",VHS Tape,,[Michael Hoffman],9786304432112,,$1.99,,6304432119,20th Century Fox,20th Century Fox,"(5.98, USD)",Video,ABIS_VIDEO,2001-01-09,20th Century Fox,US,2001-01-09,109,313025,20th Century Fox,086162414534
Green Lantern: Emerald Knights,B004QOB8PW,"[Nathan Fillion, Jason Isaacs, Elisabeth Moss]",DVD,DC Comics,[],0883929275212,,$9.14,,,Warner Home Video,Warner Home Video,"(9.14, USD)",DVD,ABIS_DVD,2011-11-08,Warner Home Video,US,2011-06-07,83,30765,Warner Home Video,883929275212
Inspector Gadget,6305616027,"[Matthew Broderick, Rupert Everett, Joely Fisher, Michelle Trachtenberg, Andy Dick]",DVD,,[David Kellogg],9780788817984,,$13.34,,0788817981,Walt Disney Video,Walt Disney Video,"(39.99, USD)",DVD,ABIS_DVD,,Walt Disney Video,US,1999-12-07,78,167873,Walt Disney Video,717951005113
Pretty Baby [VHS],6300216950,"[Brooke Shields, Keith Carradine, Susan Sarandon, Frances Faye, Antonio Fargas]",VHS Tape,Paramount,[Louis Malle],9786300216952,VHS video,$36.50,,6300216950,Paramount,Paramount,"(36.5, USD)",Video,ABIS_DVD,1987-01-31,Paramount,US,1995-02-21,110,174638,Paramount,097360894035
Lucky You,B000TNLZ0M,"[Eric Bana, Drew Barrymore, Robert Duvall, Debra Messing, Horatio Sanz]",DVD,Warner Manufacturing,[Curtis Hanson],0012569701410,,$1.35,,,WarnerBrothers,WarnerBrothers,"(4.99, USD)",DVD,ABIS_DVD,,WarnerBrothers,US,2008-01-08,124,55219,WarnerBrothers,012569701410
Multiplicity,0767806808,"[Eugene Levy, Michael Keaton, Andie MacDowell]",DVD,"KEATON,MICHAEL",[Harold Ramis],9780767806800,DVD Video,$8.63,Comedy,0767806808,Sony Pictures Home Entertainment,Sony Pictures Home Entertainment,"(9.99, USD)",DVD,ABIS_DVD,2004-12-21,Sony Pictures Home Entertainment,US,1998-04-14,1,5981,Sony Pictures Home Entertainment,043396824492
The Santa Clause 3-Movie Collection,B001DPHDBA,"[Tim Allen, Judge Reinhold, Wendy Crewson, Eric Lloyd, David Krumholtz]",DVD,Buena Vista Home Video,[John Pasquin],0786936786996,,$17.99,,,Walt Disney Studios Home Entertainment,Walt Disney Studios Home Entertainment,"(17.99, USD)",DVD,ABIS_DVD,2009-09-29,Walt Disney Studios Home Entertainment,US,2008-10-07,97,166,Walt Disney Studios Home Entertainment,786936786996
Fists of Fury [VHS],6300250156,"[Bruce Lee, Maria Yi, James Tien, Marilyn Bautista, Ying-Chieh Han]",VHS Tape,,"[Chia-Hsiang Wu, Wei Lo]",9786300250154,VHS video,$2.80,Drama,6300250156,20th Century Fox,20th Century Fox,"(3.28, USD)",Video,ABIS_VIDEO,1986-11-30,20th Century Fox,US,2002-05-21,99,409463,20th Century Fox,086162612237
Satan's Little Helper,B000A2UC2E,"[Alexander Brickel, Katheryn Winnick, Stephen Graham, Amanda Plummer, Wass Stevens]",DVD,Gaiam,[Jeff Lieberman],9781417068357,,$44.50,Kids & Family,1417068353,Universal Studios Home Entertainment,Universal Studios Home Entertainment,"(44.5, USD)",DVD,ABIS_DVD,,Universal Studios Home Entertainment,US,2005-10-04,96,125304,Universal Studios Home Entertainment,025192866821
The Parent Trap [VHS],B0000022WA,"[Hayley Mills, Maureen O'Hara, Brian Keith, Charles Ruggles, Una Merkel]",VHS Tape,,[David Swift],0786936028607,,$6.97,,,Buena Vista Distribution Company,Buena Vista Distribution Company,"(6.97, USD)",Video,ABIS_VIDEO,,Buena Vista Distribution Company,US,1997-02-04,129,147985,Buena Vista Distribution Company,786936028607
Day of the Animals,6305280665,"[Christopher George, Leslie Nielsen, Lynda Day George, Richard Jaeckel, Michael Ansara]",DVD,,[William Girdler],9786305280668,,$9.99,,6305280665,Inspired Studio,Inspired Studio,"(9.99, USD)",DVD,ABIS_DVD,,Inspired Studio,US,1998-12-02,97,115954,Inspired Studio,066479101440
1900 [VHS],6301015320,"[Robert De Niro, Gérard Depardieu, Dominique Sanda, Francesca Bertini, Laura Betti]",VHS Tape,,[Bernardo Bertolucci],9780792110484,,$4.00,,6301015320,Paramount,Paramount,"(4, USD)",Video,ABIS_DVD,,Paramount,US,1998-01-01,255,136133,Paramount,097360880434
Interiors,0792846087,"[Kristin Griffith, Mary Beth Hurt, Richard Jordan, Diane Keaton, E.G. Marshall]",DVD,"KEATON,DIANE",[Woody Allen],9780792846086,DVD Video,$12.91,Drama,0792846087,MGM (Video & DVD),MGM (Video & DVD),"(20.22, USD)",DVD,ABIS_DVD,2000-05-31,MGM (Video & DVD),US,2000-07-05,93,61871,MGM (Video & DVD),027616851147
Santa Fe Trail [VHS],6302787009,"[Errol Flynn, Olivia de Havilland, Raymond Massey, Ronald Reagan, Alan Hale]",VHS Tape,,[Michael Curtiz],9786302787009,,$2.93,,6302787009,MGM (Warner),MGM (Warner),"(2.93, USD)",Video,ABIS_VIDEO,,MGM (Warner),US,1998-09-01,110,444962,MGM (Warner),027616295132
Autumn in New York [VHS],B00003CXL6,"[Richard Gere, Winona Ryder, Anthony LaPaglia, Elaine Stritch, Vera Farmiga]",VHS Tape,,[Joan Chen],9780792847984,,$2.00,,0792847989,MGM (Video & DVD),MGM (Video & DVD),"(6.89, USD)",Video,ABIS_VIDEO,,MGM (Video & DVD),US,2001-06-05,103,375149,MGM (Video & DVD),027616857514
"Move Over, Darling [VHS]",B00000IBME,"[Doris Day, James Garner, Polly Bergen, Thelma Ritter, Fred Clark]",VHS Tape,,[Michael Gordon],0086162177231,,$6.00,,,Fox Home Entertainme,Fox Home Entertainme,"(8.49, USD)",Video,ABIS_VIDEO,,Fox Home Entertainme,US,2003-05-20,,211993,Fox Home Entertainme,086162177231
Star Trek:  Enterprise:  The Complete Series,B000AOEMXM,"[Scott Bakula, John Billingsley, Jolene Blalock, Dominic Keating, Anthony Montgomery]",DVD,Paramount,"[Allan Kroeker, David Barrett, David Livingston, David Straiton, James A. Contner]",0097360330144,,$112.96,,,Paramount,Paramount,"(129.98, USD)",DVD,ABIS_DVD,2008-02-05,Paramount,US,2005-11-01,4223,88577,Paramount,097360330144
Theater of Blood [VHS],6301977270,"[Vincent Price, Diana Rigg, Ian Hendry, Harry Andrews, Coral Browne]",VHS Tape,,[Douglas Hickox],9786301977272,,$9.99,,6301977270,MGM (Video & DVD),MGM (Video & DVD),"(9.99, USD)",Video,ABIS_VIDEO,,MGM (Video & DVD),US,1995-04-27,104,332965,MGM (Video & DVD),027616090232
Star Wars: The Clone Wars - Season 1 [Blu-ray],B001PO53IO,[Various],Blu-ray,Star Wars,[Various],0883929094561,GIFTSET,$21.00,,,Warner Home Video,Warner Home Video,"(49.99, USD)",DVD,ABIS_DVD,,Warner Home Video,US,2009-11-03,502,76492,Warner Home Video,883929094561
Challenge of the Super Friends: Season 1,B00023E88U,"[Jack Angel, Marlene Aragon, Michael Bell, Bill Callaway, Ted Cassidy]",DVD,Warner Manufacturing,[],0085393162627,,$8.95,Anime & Manga,,WarnerBrothers,WarnerBrothers,"(12.99, USD)",DVD,ABIS_DVD,,WarnerBrothers,US,2006-06-20,347,11969,WarnerBrothers,085393162627
Reptilicus [VHS],6303082750,"[Bent Mejding, Asbjørn Andersen, Povl Wøldike, Ann Smyrner, Mimi Heinrich]",VHS Tape,,[Sidney W. Pink],9786303082752,,$9.99,,6303082750,Metro-Goldwyn-Mayer,Metro-Goldwyn-Mayer,"(9.99, USD)",Video,ABIS_VIDEO,,Metro-Goldwyn-Mayer,US,1994-05-25,82,230585,Metro-Goldwyn-Mayer,023568007151
Star Is Born & Til the Clouds Roll By [VHS],6303510361,"[Janet Gaynor, Fredric March, Robert Walker, Van Heflin, Lucille Bremer]",VHS Tape,,"[George Sidney, Jack Conway, Richard Whorf, Vincente Minnelli, William A. Wellman]",9786303510361,,$6.95,Musicals,6303510361,Madacy Records,Madacy Records,"(6.95, USD)",Video,ABIS_VIDEO,,Madacy Records,US,1998-06-02,,591380,Madacy Records,056775633134
The Beatles Anthology Collector's Set [VHS],630416923X,"[John Lennon, Paul McCartney, George Harrison, Ringo Starr, George Martin]",VHS Tape,Apple Corps Ltd.,"[Bob Smeaton, Geoff Wonfor, Kevin Godley]",9786304169230,,$10.00,,630416923X,Warner Home Video,Warner Home Video,"(35.95, USD)",Video,ABIS_VIDEO,,Warner Home Video,US,1996-09-05,600,199038,Warner Home Video,053939552331
Godzilla Vs Biollante [VHS],0783103107,"[Kunihiko Mitamura, Yoshiko Tanaka, Masanobu Takashima, Kôji Takahashi, Tôru Minegishi]",VHS Tape,,[Kazuki Ohmori],9780783103105,,$6.98,,0783103107,Hbo Home Video,Hbo Home Video,"(6.98, USD)",Video,ABIS_VIDEO,,Hbo Home Video,US,1995-08-22,104,79062,Hbo Home Video,026359083839
Prophecy 2 [VHS],6304707045,"[Christopher Walken, Russell Wong, Jennifer Beals, Brittany Murphy, Eric Roberts]",VHS Tape,,[Greg Spence],9786304707043,,$4.51,,0788811312,Walt Disney Video,Walt Disney Video,"(7.75, USD)",Video,ABIS_VIDEO,,Walt Disney Video,US,1998-09-29,87,383020,Walt Disney Video,786936059649
Gone in 60 Seconds,B000055ZNH,"[Edward Abrahms, Christopher J.C. Agajanian, Gary Bettenhausen, Edward Booker, Wally Burr]",DVD,ORIGINAL GONE,"[H.B. ""Toby"" Halicki]",0741027117165,,$35.26,Mystery & Thrillers,,Bci / Eclipse,Bci / Eclipse,"(39.87, USD)",DVD,ABIS_DVD,,Bci / Eclipse,US,2000-11-28,105,98173,Bci / Eclipse,741027117165
Enter the Void,B0048LPRCS,"[Nathaniel Brown, Paz de la Huerta]",DVD,MPI Home Video,[Gaspar Noé],0030306977492,,$15.23,,,MPI HOME VIDEO,MPI HOME VIDEO,"(16.57, USD)",DVD,ABIS_DVD,2011-01-25,MPI HOME VIDEO,US,2011-01-25,161,48984,MPI HOME VIDEO,030306977492
Lionheart,0783228465,"[Jean-Claude Van Damme, Harrison Page, Deborah Rennard, Lisa Pelikan, Ashley Johnson]",DVD,"VAN DAMME,JEAN-CLAU",[Sheldon Lettich],9780783228464,1st,$29.95,Action & Adventure,0783228465,Universal Studios Home Entertainment,Universal Studios Home Entertainment,"(29.95, USD)",DVD,ABIS_DVD,2013-04-02,Universal Studios Home Entertainment,US,1998-09-08,105,38470,Universal Studios Home Entertainment,025192038822
The Caller,B005F3XV8U,"[Rachelle Lefevre, Stephen Moyer, Luis Guzman, Ed Quinn, Lorna Raver]",DVD,,[Matthew Parkhill],0043396384590,,$7.50,,,Sony Pictures Home Entertainment,Sony Pictures Home Entertainment,"(9.22, USD)",DVD,ABIS_DVD,2012-01-17,Sony Pictures Home Entertainment,US,2011-10-04,91,66169,Sony Pictures Home Entertainment,043396384590
Big Night,0767802535,"[Stanley Tucci, Tony Shalhoub, Ian Holm, Minnie Driver, Isabella Rossellini]",DVD,"DRIVER,MINNIE","[Stanley Tucci, Campbell Scott]",9780767802536,DVD Video,$29.27,Drama,0767802535,Columbia Tristar Home Entertainment,Columbia Tristar Home Entertainment,"(46.95, USD)",DVD,ABIS_DVD,1998-04-29,Columbia Tristar Home Entertainment,US,2002-12-26,109,9768,Columbia Tristar Home Entertainment,043396810198
Easter Parade [VHS],0790745569,"[Judy Garland, Fred Astaire, Peter Lawford, Ann Miller, Jules Munshin]",VHS Tape,,[Charles Walters],9780790745565,VHS video,$8.72,,0790745569,Warner Home Video,Warner Home Video,"(8.72, USD)",Video,ABIS_VIDEO,2000-03-31,Warner Home Video,US,2000-05-02,107,172372,Warner Home Video,012569514232
M*A*S*H - Season Three (Collector's Edition),B000078UJW,"[Alan Alda, Wayne Rogers, Loretta Swit, Jamie Farr, William Christopher]",DVD,,"[Alan Alda, Don Weis, Gene Reynolds, Hy Averback, Larry Gelbart]",0024543059134,Collector's Edition,$33.99,Comedy,,20th Century Fox Home Entertainment,20th Century Fox Home Entertainment,"(33.99, USD)",DVD,ABIS_DVD,,20th Century Fox Home Entertainment,US,2003-02-18,612,58031,20th Century Fox Home Entertainment,024543059134
Courage Under Fire,B00005221J,"[Denzel Washington, Meg Ryan, Lou Diamond Phillips, Michael Moriarty, Matt Damon]",DVD,FOX Home Entertainment,[Edward Zwick],0024543010821,,$1.96,,,20th Century Fox,20th Century Fox,"(9.44, USD)",DVD,ABIS_DVD,2000-12-01,20th Century Fox,US,2000-12-26,116,54563,20th Century Fox,024543010821
Shameless: Season 1,B000MGBM1S,[James McAvoy],DVD,Warner Manufacturing,[],0794051288721,,$15.30,,,BBC Home Entertainment,BBC Home Entertainment,"(18, USD)",DVD,ABIS_DVD,,BBC Home Entertainment,US,2007-04-24,342,101309,BBC Home Entertainment,794051288721
Topkapi [VHS],6304005989,"[Melina Mercouri, Peter Ustinov, Maximilian Schell, Robert Morley, Jess Hahn]",VHS Tape,,[Jules Dassin],9780792825784,,$14.44,,0792825780,MGM (Video & DVD),MGM (Video & DVD),"(14.44, USD)",Video,ABIS_VIDEO,,MGM (Video & DVD),US,1996-03-26,120,297982,MGM (Video & DVD),027616523334
The Stuff [VHS],6303954278,"[Michael Moriarty, Andrea Marcovicci, Garrett Morris, Paul Sorvino, Scott Bloom]",VHS Tape,,[Larry Cohen],9786303954271,,$35.98,,6303954278,Anchor Bay,Anchor Bay,"(35.98, USD)",Video,ABIS_VIDEO,,Anchor Bay,US,1996-01-15,87,163822,Anchor Bay,092091135730
Slaughterhouse-Five [VHS],1558801278,"[Michael Sacks, Ron Leibman, Eugene Roche, Sharon Gans, Valerie Perrine]",VHS Tape,,[George Roy Hill],9781558801271,,$19.95,,1558801278,Universal Studios Ho,Universal Studios Ho,"(24.95, USD)",Video,ABIS_VIDEO,,Universal Studios Ho,US,1998-07-07,104,292659,Universal Studios Ho,096885507031
The Major and the Minor [VHS],078321894X,"[Ginger Rogers, Ray Milland, Rita Johnson, Robert Benchley, Diana Lynn]",VHS Tape,,[Billy Wilder],9780783218946,,$7.50,,078321894X,Universal Studios,Universal Studios,"(7.5, USD)",Video,ABIS_VIDEO,,Universal Studios,US,1998-05-26,100,214962,Universal Studios,096898002639
Missile to the Moon [VHS],6304913605,"[Richard Travis, Cathy Downs, K.T. Stevens, Tommy Cook, Nina Bara]",VHS Tape,,[Richard E. Cunha],9786304913604,,$17.99,,6304913605,First Look Home Ente,First Look Home Ente,"(17.99, USD)",Video,ABIS_VIDEO,,First Look Home Ente,US,1998-03-27,78,562016,First Look Home Ente,645652102230
Sports Night - The Complete Series Boxed Set,B00006IRH9,"[Felicity Huffman, Peter Krause, Josh Charles]",DVD,Buena Vista Home Video,[],9780788839030,,$129.95,Sports,0788839039,Buena Vista Home Entertainment,Buena Vista Home Entertainment,"(129.95, USD)",DVD,ABIS_DVD,2002-11-05,Buena Vista Home Entertainment,US,2002-11-05,1065,29024,Buena Vista Home Entertainment,786936196412
American Gigolo,0792160347,"[Richard Gere, Lauren Hutton, Hector Elizondo, Nina van Pallandt, Bill Duke]",DVD,"GERE,RICHARD",[Paul Schrader],9780792160342,DVD Video,$10.48,,0792160347,Paramount,Paramount,"(14.97, USD)",DVD,ABIS_DVD,2001-12-29,Paramount,US,2000-05-23,117,112142,Paramount,097360898941
Darling [VHS],6300147258,"[Julie Christie, Dirk Bogarde, Laurence Harvey, José Luis de Vilallonga, Roland Curram]",VHS Tape,,[John Schlesinger],9786300147256,,$6.99,,6300147258,Nelson Entertainment,Nelson Entertainment,"(8.98, USD)",Video,ABIS_VIDEO,,Nelson Entertainment,US,1993-02-17,128,583882,Nelson Entertainment,042995201130
Cedar Rapids,B004X8AIE8,"[Ed Helms, John C. Reilly]",DVD,20TH Century Fox,[],0024543705659,Special,$1.87,,,Fox Searchlight,Fox Searchlight,"(7.97, USD)",DVD,ABIS_DVD,2014-05-06,Fox Searchlight,US,2011-06-21,87,21647,Fox Searchlight,024543705659
Leprechaun 3 [VHS],6303969070,"[Warwick Davis, John Gatins, Lee Armstrong, John DeMita, Michael Callan]",VHS Tape,,[Brian Trenchard-Smith],9786303969077,VHS video,$10.95,,6303969070,Vidmark / Trimark,Vidmark / Trimark,"(10.95, USD)",Video,ABIS_VIDEO,1998-11-30,Vidmark / Trimark,US,1997-06-20,90,317588,Vidmark / Trimark,031398633938
The Ant Bully (Widescreen Edition),B000ION23A,"[Julia Roberts, Nicolas Cage, Meryl Streep, Paul Giamatti, Regina King]",DVD,Warner Bros,[John A. Davis],9781419818073,,$2.45,,1419818074,WarnerBrothers,WarnerBrothers,"(7.69, USD)",DVD,ABIS_DVD,2006-11-01,WarnerBrothers,US,2008-01-08,89,34617,WarnerBrothers,012569736689
Universal Soldier: The Return,B000022TSJ,"[Jean-Claude Van Damme, Daniel Von Bargen, Michael White, Karis Paige Bryant]",DVD,Sony,"[Mic Rogers, Mic Rodgers]",9780767836364,,$2.00,Action & Adventure,0767836367,Sony Pictures Home Entertainment,Sony Pictures Home Entertainment,"(6.9, USD)",DVD,ABIS_DVD,2005-03-22,Sony Pictures Home Entertainment,US,1999-12-28,84,66614,Sony Pictures Home Entertainment,043396039346
One Piece: The Desert Princess and the Pirates - Adventures in Alabasta,B0010X8NL4,"[Charles Baker, Troy Baker, Anthony Bowling, Luci Christian, Leah Clark]",DVD,Funimation,[Takahiro Imamura],0704400095801,,$3.99,Anime,,Funimation Prod,Funimation Prod,"(6.99, USD)",DVD,ABIS_DVD,2008-02-19,Funimation Prod,US,2008-02-19,90,124243,Funimation Prod,704400095801
