title,asin,actors,binding,brand,directors,ean,edition,formatted_price,genre,isbn,label,manufacturer,price_and_currency,product_group,product_type_name,publication_date,publisher,region,release_date,running_time,sales_rank,studio,upc
Out of Africa,0783240171,"[Robert Redford, Meryl Streep, Klaus Maria Brandauer, Michael Kitchen, Malick Bowens]",DVD,collectors edition,[Sydney Pollack],9780783240176,Collector's Edition,$7.58,Drama,0783240171,Universal Studios Home Entertainment,Universal Studios Home Entertainment,"(9.99, USD)",DVD,ABIS_DVD,2011-01-04,Universal Studios Home Entertainment,US,2000-02-29,161,2325,Universal Studios Home Entertainment,025192025020
Quantum of Solace,B001PPLIEG,"[Daniel Craig, Olga Kurylenko, Mathieu Amalric, Judi Dench, Giancarlo Giannini]",DVD,Sony,[Marc Forster],0883904134664,No enhanced packaging,$4.83,,,MGM (Video & DVD),MGM (Video & DVD),"(10.59, USD)",DVD,ABIS_DVD,2010-02-09,MGM (Video & DVD),US,2013-02-12,106,16637,MGM (Video & DVD),883904134664
Hawaii [VHS],6304071892,"[Julie Andrews, Max von Sydow, Richard Harris, Gene Hackman, Carroll O'Connor]",VHS Tape,,[George Roy Hill],9786304071892,,$9.85,Action & Adventure,0792830660,Fox Home Entertainme,Fox Home Entertainme,"(9.91, USD)",Video,ABIS_VIDEO,,Fox Home Entertainme,US,2001-11-13,189,177097,Fox Home Entertainme,027616581037
The Towering Inferno [VHS],6301562178,"[Paul Newman, Steve McQueen, William Holden, Faye Dunaway, Fred Astaire]",VHS Tape,,[John Guillermin],9786301562171,,$6.98,,6301562178,20th Century Fox,20th Century Fox,"(7.77, USD)",Video,ABIS_VIDEO,,20th Century Fox,US,1998-01-01,165,120404,20th Century Fox,086162107139
The Man with the Golden Arm,B00004WLVS,"[Frank Sinatra, Eleanor Parker, Kim Novak, Arnold Stang, Darren McGavin]",DVD,,[Otto Preminger],0025493070125,,$1.78,,,PASSPORT VIDEO,PASSPORT VIDEO,"(7.29, USD)",DVD,ABIS_DVD,,PASSPORT VIDEO,US,2000-05-16,119,463658,PASSPORT VIDEO,025493070125
Below,B00005JKWG,"[Bruce Greenwood, David Crow, Matthew Davis, Holt McCallany, Dexter Fletcher]",DVD,Buena Vista Home Video,[David Twohy],0786936214673,,$12.00,,,Buena Vista Home Entertainment,Buena Vista Home Entertainment,"(12, USD)",DVD,ABIS_DVD,,Buena Vista Home Entertainment,US,2003-03-11,105,119757,Buena Vista Home Entertainment,786936214673
Ladder 49 (Widescreen Edition),B00063MAXQ,"[Joaquin Phoenix, John Travolta, Jacinda Barrett, Robert Patrick, Morris Chestnut]",DVD,Buena Vista Home Video,[Jay Russell],9780788854569,,$1.29,,0788854569,Buena Vista Home Entertainment / Touchstone,Buena Vista Home Entertainment / Touchstone,"(5.99, USD)",DVD,ABIS_DVD,2011-12-24,Buena Vista Home Entertainment / Touchstone,US,2005-03-08,115,85903,Buena Vista Home Entertainment / Touchstone,786936242638
Mrs. Brown [VHS],630482615X,"[Judi Dench, Billy Connolly, Geoffrey Palmer, Antony Sher, Gerard Butler]",VHS Tape,,[John Madden],9786304826157,,$3.93,,0788811835,Walt Disney Video,Walt Disney Video,"(4, USD)",Video,ABIS_VIDEO,,Walt Disney Video,US,1999-04-06,104,74363,Walt Disney Video,786936074529
White Chicks (PG-13 Rated Edition),B0002VYOV8,"[John Heard, Jaime King, Lochlyn Munro, Maitland Ward, Busy Philipps]",DVD,"WAYANS,SHAWN",[Keenen Ivory Wayans],9781404945371,Rated Edition,$0.25,,1404945377,Sony Pictures Home Entertainment,Sony Pictures Home Entertainment,"(8.93, USD)",DVD,ABIS_DVD,2004-11-29,Sony Pictures Home Entertainment,US,2004-10-26,109,39421,Sony Pictures Home Entertainment,043396025202
The Flintstones - The Complete First Season,B0001CNQUS,[Various],DVD,Warner Brothers,[Various],9781560398394,,$48.00,,1560398396,WarnerBrothers,WarnerBrothers,"(48, USD)",DVD,ABIS_DVD,2004-09-14,WarnerBrothers,US,2006-08-15,737,44289,WarnerBrothers,014764227320
Life or Something Like It,B00006G8JD,"[Angelina Jolie, Edward Burns, Tony Shalhoub, Christian Kane, James Gammon]",DVD,Fox,[Stephen Herek],0024543053989,Special,$2.94,,,20th Century Fox,20th Century Fox,"(7.97, USD)",DVD,ABIS_DVD,2014-04-01,20th Century Fox,US,2011-11-01,103,91276,20th Century Fox,024543053989
The Brave One (Full-Screen Edition),B0010HOZVW,"[Jodie Foster, Terrence Howard, Naveen Andrews, Nicky Katt, Mary Steenburgen]",DVD,"From HIBISCUS EXPRESS, http://www.amazon.com/shops/AXD9LOVGJXES3",[Neil Jordan],0883929004607,,$8.06,,,Warner Home Video,Warner Home Video,"(8.22, USD)",DVD,ABIS_DVD,,Warner Home Video,US,2008-02-05,122,74382,Warner Home Video,883929004607
Envy (Widescreen Edition),B00005JM9Z,"[Ben Stiller, Jack Black, Rachel Weisz, Amy Poehler, Christopher Walken]",DVD,MOVIE,[Barry Levinson],0826294500121,,$2.95,,,Dreamworks Video,Dreamworks Video,"(29.32, USD)",DVD,ABIS_DVD,2004-09-28,Dreamworks Video,US,2004-09-28,99,79053,Dreamworks Video,678149082227
Jack Goes Boating,B002LVVCJY,"[Phillip Seymour Hoffman, Amy Ryan, John Ortiz, Daphne Rubin-Vega]",DVD,Overture Films/Anchor Bay Entertainment,[Phillip Seymour Hoffman],0013132140698,,$3.99,,,Overture Films/Anchor Bay Entertainment,Overture Films/Anchor Bay Entertainment,"(6.24, USD)",DVD,ABIS_DVD,2012-09-25,Overture Films/Anchor Bay Entertainment,US,2011-01-18,91,98601,Overture Films/Anchor Bay Entertainment,013132140698
Love Is a Many-Splendored Thing [VHS],6302842263,"[William Holden, Jennifer Jones, Torin Thatcher, Isobel Elsom, Murray Matheson]",VHS Tape,,"[Henry King, Otto Lang]",9786302842265,,$0.01,,6302842263,Fox Home Entertainme,Fox Home Entertainme,"(7.77, USD)",Video,ABIS_VIDEO,,Fox Home Entertainme,US,1998-03-03,102,232373,Fox Home Entertainme,086162103933
